拍击,はたく,Pound
地震,じしん,Earthquake
地裂,じわれ,Fissure
挖洞,あなをほる,Dig
剧毒,どくどく,Toxic
念力,ねんりき,Confusion
精神强念,サイコキネシス,Psychic
催眠术,さいみんじゅつ,Hypnosis
瑜伽姿势,ヨガのポーズ,Meditate
高速移动,こうそくいどう,Agility
电光一闪,でんこうせっか,Quick Attack
愤怒,いかり,Rage
瞬间移动,テレポート,Teleport
黑夜魔影,ナイトヘッド,Night Shade
模仿,ものまね,Mimic
刺耳声,いやなおと,Screech
影子分身,かげぶんしん,Double Team
自我再生,じこさいせい,Recover
变硬,かたくなる,Harden
变小,ちいさくなる,Minimize
烟幕,えんまく,Smokescreen
奇异之光,あやしいひかり,Confuse Ray
缩入壳中,からにこもる,Withdraw
变圆,まるくなる,Defense Curl
屏障,バリアー,Barrier
光墙,ひかりのかべ,Light Screen
黑雾,くろいきり,Haze
反射壁,リフレクター,Reflect
聚气,きあいだめ,Focus Energy
忍耐,がまん,Bide
挥指,ゆびをふる,Metronome
鹦鹉学舌,オウムがえし,Mirror Move
自爆,じばく,Self-Destruct
炸蛋,タマゴばくだん,Egg Bomb
舌舔,したでなめる,Lick
浊雾,スモッグ,Smog
污泥攻击,ヘドロこうげき,Sludge
骨棒,ホネこんぼう,Bone Club
大字爆炎,だいもんじ,Fire Blast
攀瀑,たきのぼり,Waterfall
贝壳夹击,からではさむ,Clamp
高速星星,スピードスター,Swift
火箭头锤,ロケットずつき,Skull Bash
尖刺加农炮,とげキャノン,Spike Cannon
缠绕,からみつく,Constrict
瞬间失忆,ドわすれ,Amnesia
折弯汤匙,スプーンまげ,Kinesis
生蛋,タマゴうみ,Soft-Boiled
飞膝踢,とびひざげり,High Jump Kick
大蛇瞪眼,へびにらみ,Glare
食梦,ゆめくい,Dream Eater
毒瓦斯,どくガス,Poison Gas
投球,たまなげ,Barrage
吸血,きゅうけつ,Leech Life
恶魔之吻,あくまのキッス,Lovely Kiss
神鸟猛击,ゴッドバード,Sky Attack
变身,へんしん,Transform
泡沫,あわ,Bubble
迷昏拳,ピヨピヨパンチ,Dizzy Punch
蘑菇孢子,キノコのほうし,Spore
闪光,フラッシュ,Flash
精神波,サイコウェーブ,Psywave
跃起,はねる,Splash
溶化,とける,Acid Armor
蟹钳锤,クラブハンマー,Crabhammer
大爆炸,だいばくはつ,Explosion
乱抓,みだれひっかき,Fury Swipes
骨头回力镖,ホネブーメラン,Bonemerang
睡觉,ねむる,Rest
岩崩,いわなだれ,Rock Slide
必杀门牙,ひっさつまえば,Hyper Fang
棱角化,かくばる,Sharpen
纹理,テクスチャー,Conversion
三重攻击,トライアタック,Tri Attack
愤怒门牙,いかりのまえば,Super Fang
劈开,きりさく,Slash
替身,みがわり,Substitute
挣扎,わるあがき,Struggle
写生,スケッチ,Sketch
三连踢,トリプルキック,Triple Kick
小偷,どろぼう,Thief
蛛网,クモのす,Spider Web
心之眼,こころのめ,Mind Reader
恶梦,あくむ,Nightmare
火焰轮,かえんぐるま,Flame Wheel
打鼾,いびき,Snore
诅咒,のろい,Curse
抓狂,じたばた,Flail
纹理２,テクスチャー２,Conversion 2
气旋攻击,エアロブラスト,Aeroblast
棉孢子,わたほうし,Cotton Spore
起死回生,きしかいせい,Reversal
怨恨,うらみ,Spite
细雪,こなゆき,Powder Snow
守住,まもる,Protect
音速拳,マッハパンチ,Mach Punch
鬼面,こわいかお,Scary Face
出奇一击,だましうち,Feint Attack
天使之吻,てんしのキッス,Sweet Kiss
腹鼓,はらだいこ,Belly Drum
污泥炸弹,ヘドロばくだん,Sludge Bomb
掷泥,どろかけ,Mud-Slap
章鱼桶炮,オクタンほう,Octazooka
撒菱,まきびし,Spikes
电磁炮,でんじほう,Zap Cannon
识破,みやぶる,Foresight
同命,みちづれ,Destiny Bond
灭亡之歌,ほろびのうた,Perish Song
冰冻之风,こごえるかぜ,Icy Wind
看穿,みきり,Detect
骨棒乱打,ボーンラッシュ,Bone Rush
锁定,ロックオン,Lock-On
逆鳞,げきりん,Outrage
沙暴,すなあらし,Sandstorm
终极吸取,ギガドレイン,Giga Drain
挺住,こらえる,Endure
撒娇,あまえる,Charm
滚动,ころがる,Rollout
点到为止,みねうち,False Swipe
虚张声势,いばる,Swagger
喝牛奶,ミルクのみ,Milk Drink
电光,スパーク,Spark
连斩,れんぞくぎり,Fury Cutter
钢翼,はがねのつばさ,Steel Wing
黑色目光,くろいまなざし,Mean Look
迷人,メロメロ,Attract
梦话,ねごと,Sleep Talk
治愈铃声,いやしのすず,Heal Bell
报恩,おんがえし,Return
礼物,プレゼント,Present
迁怒,やつあたり,Frustration
神秘守护,しんぴのまもり,Safeguard
分担痛楚,いたみわけ,Pain Split
神圣之火,せいなるほのお,Sacred Fire
震级,マグニチュード,Magnitude
爆裂拳,ばくれつパンチ,Dynamic Punch
超级角击,メガホーン,Megahorn
龙息,りゅうのいぶき,Dragon Breath
接棒,バトンタッチ,Baton Pass
再来一次,アンコール,Encore
追打,おいうち,Pursuit
高速旋转,こうそくスピン,Rapid Spin
甜甜香气,あまいかおり,Sweet Scent
铁尾,アイアンテール,Iron Tail
金属爪,メタルクロー,Metal Claw
借力摔,あてみなげ,Vital Throw
晨光,あさのひざし,Morning Sun
光合作用,こうごうせい,Synthesis
月光,つきのひかり,Moonlight
觉醒力量,めざめるパワー,Hidden Power
十字劈,クロスチョップ,Cross Chop
龙卷风,たつまき,Twister
求雨,あまごい,Rain Dance
大晴天,にほんばれ,Sunny Day
咬碎,かみくだく,Crunch
镜面反射,ミラーコート,Mirror Coat
自我暗示,じこあんじ,Psych Up
神速,しんそく,Extreme Speed
原始之力,げんしのちから,Ancient Power
暗影球,シャドーボール,Shadow Ball
预知未来,みらいよち,Future Sight
碎岩,いわくだき,Rock Smash
潮旋,うずしお,Whirlpool
围攻,ふくろだたき,Beat Up
击掌奇袭,ねこだまし,Fake Out
吵闹,さわぐ,Uproar
蓄力,たくわえる,Stockpile
喷出,はきだす,Spit Up
吞下,のみこむ,Swallow
热风,ねっぷう,Heat Wave
冰雹,あられ,Hail
无理取闹,いちゃもん,Torment
吹捧,おだてる,Flatter
鬼火,おにび,Will-O-Wisp
临别礼物,おきみやげ,Memento
硬撑,からげんき,Facade
真气拳,きあいパンチ,Focus Punch
清醒,きつけ,Smelling Salts
看我嘛,このゆびとまれ,Follow Me
自然之力,しぜんのちから,Nature Power
充电,じゅうでん,Charge
挑衅,ちょうはつ,Taunt
帮助,てだすけ,Helping Hand
戏法,トリック,Trick
扮演,なりきり,Role Play
祈愿,ねがいごと,Wish
借助,ねこのて,Assist
扎根,ねをはる,Ingrain
蛮力,ばかぢから,Superpower
魔法反射,マジックコート,Magic Coat
回收利用,リサイクル,Recycle
报复,リベンジ,Revenge
劈瓦,かわらわり,Brick Break
哈欠,あくび,Yawn
拍落,はたきおとす,Knock Off
蛮干,がむしゃら,Endeavor
喷火,ふんか,Eruption
特性互换,スキルスワップ,Skill Swap
封印,ふういん,Imprison
焕然一新,リフレッシュ,Refresh
怨念,おんねん,Grudge
抢夺,よこどり,Snatch
秘密之力,ひみつのちから,Secret Power
潜水,ダイビング,Dive
猛推,つっぱり,Arm Thrust
保护色,ほごしょく,Camouflage
萤火,ほたるび,Tail Glow
洁净光芒,ラスターパージ,Luster Purge
薄雾球,ミストボール,Mist Ball
羽毛舞,フェザーダンス,Feather Dance
摇晃舞,フラフラダンス,Teeter Dance
火焰踢,ブレイズキック,Blaze Kick
玩泥巴,どろあそび,Mud Sport
冰球,アイスボール,Ice Ball
尖刺臂,ニードルアーム,Needle Arm
偷懒,なまける,Slack Off
巨声,ハイパーボイス,Hyper Voice
剧毒牙,どくどくのキバ,Poison Fang
撕裂爪,ブレイククロー,Crush Claw
爆炸烈焰,ブラストバーン,Blast Burn
加农水炮,ハイドロカノン,Hydro Cannon
彗星拳,コメットパンチ,Meteor Mash
惊吓,おどろかす,Astonish
气象球,ウェザーボール,Weather Ball
芳香治疗,アロマセラピー,Aromatherapy
假哭,うそなき,Fake Tears
空气利刃,エアカッター,Air Cutter
过热,オーバーヒート,Overheat
气味侦测,かぎわける,Odor Sleuth
岩石封锁,がんせきふうじ,Rock Tomb
银色旋风,ぎんいろのかぜ,Silver Wind
金属音,きんぞくおん,Metal Sound
草笛,くさぶえ,Grass Whistle
挠痒,くすぐる,Tickle
宇宙力量,コスモパワー,Cosmic Power
喷水,しおふき,Water Spout
信号光束,シグナルビーム,Signal Beam
暗影拳,シャドーパンチ,Shadow Punch
神通力,じんつうりき,Extrasensory
冲天拳,スカイアッパー,Sky Uppercut
流沙地狱,すなじごく,Sand Tomb
绝对零度,ぜったいれいど,Sheer Cold
浊流,だくりゅう,Muddy Water
种子机关枪,タネマシンガン,Bullet Seed
燕返,つばめがえし,Aerial Ace
冰锥,つららばり,Icicle Spear
铁壁,てっぺき,Iron Defense
挡路,とおせんぼう,Block
长嚎,とおぼえ,Howl
龙爪,ドラゴンクロー,Dragon Claw
疯狂植物,ハードプラント,Frenzy Plant
健美,ビルドアップ,Bulk Up
弹跳,とびはねる,Bounce
泥巴射击,マッドショット,Mud Shot
毒尾,ポイズンテール,Poison Tail
渴望,ほしがる,Covet
伏特攻击,ボルテッカー,Volt Tackle
魔法叶,マジカルリーフ,Magical Leaf
玩水,みずあそび,Water Sport
冥想,めいそう,Calm Mind
叶刃,リーフブレード,Leaf Blade
龙之舞,りゅうのまい,Dragon Dance
岩石爆击,ロックブラスト,Rock Blast
电击波,でんげきは,Shock Wave
水之波动,みずのはどう,Water Pulse
破灭之愿,はめつのねがい,Doom Desire
精神突进,サイコブースト,Psycho Boost
羽栖,はねやすめ,Roost
重力,じゅうりょく,Gravity
奇迹之眼,ミラクルアイ,Miracle Eye
唤醒巴掌,めざましビンタ,Wake-Up Slap
臂锤,アームハンマー,Hammer Arm
陀螺球,ジャイロボール,Gyro Ball
治愈之愿,いやしのねがい,Healing Wish
盐水,しおみず,Brine
自然之恩,しぜんのめぐみ,Natural Gift
佯攻,フェイント,Feint
啄食,ついばむ,Pluck
顺风,おいかぜ,Tailwind
点穴,つぼをつく,Acupressure
金属爆炸,メタルバースト,Metal Burst
急速折返,とんぼがえり,U-turn
近身战,インファイト,Close Combat
以牙还牙,しっぺがえし,Payback
恶意追击,ダメおし,Assurance
查封,さしおさえ,Embargo
投掷,なげつける,Fling
精神转移,サイコシフト,Psycho Shift
王牌,きりふだ,Trump Card
回复封锁,かいふくふうじ,Heal Block
绞紧,しぼりとる,Wring Out
力量戏法,パワートリック,Power Trick
胃液,いえき,Gastro Acid
幸运咒语,おまじない,Lucky Chant
抢先一步,さきどり,Me First
仿效,まねっこ,Copycat
力量互换,パワースワップ,Power Swap
防守互换,ガードスワップ,Guard Swap
惩罚,おしおき,Punishment
珍藏,とっておき,Last Resort
烦恼种子,なやみのタネ,Worry Seed
突袭,ふいうち,Sucker Punch
毒菱,どくびし,Toxic Spikes
心灵互换,ハートスワップ,Heart Swap
水流环,アクアリング,Aqua Ring
电磁飘浮,でんじふゆう,Magnet Rise
闪焰冲锋,フレアドライブ,Flare Blitz
发劲,はっけい,Force Palm
波导弹,はどうだん,Aura Sphere
岩石打磨,ロックカット,Rock Polish
毒击,どくづき,Poison Jab
恶之波动,あくのはどう,Dark Pulse
暗袭要害,つじぎり,Night Slash
水流尾,アクアテール,Aqua Tail
种子炸弹,タネばくだん,Seed Bomb
空气斩,エアスラッシュ,Air Slash
十字剪,シザークロス,X-Scissor
虫鸣,むしのさざめき,Bug Buzz
龙之波动,りゅうのはどう,Dragon Pulse
龙之俯冲,ドラゴンダイブ,Dragon Rush
力量宝石,パワージェム,Power Gem
吸取拳,ドレインパンチ,Drain Punch
真空波,しんくうは,Vacuum Wave
真气弹,きあいだま,Focus Blast
能量球,エナジーボール,Energy Ball
勇鸟猛攻,ブレイブバード,Brave Bird
大地之力,だいちのちから,Earth Power
掉包,すりかえ,Switcheroo
终极冲击,ギガインパクト,Giga Impact
诡计,わるだくみ,Nasty Plot
子弹拳,バレットパンチ,Bullet Punch
雪崩,ゆきなだれ,Avalanche
冰砾,こおりのつぶて,Ice Shard
暗影爪,シャドークロー,Shadow Claw
雷电牙,かみなりのキバ,Thunder Fang
冰冻牙,こおりのキバ,Ice Fang
火焰牙,ほのおのキバ,Fire Fang
影子偷袭,かげうち,Shadow Sneak
泥巴炸弹,どろばくだん,Mud Bomb
精神利刃,サイコカッター,Psycho Cut
意念头锤,しねんのずつき,Zen Headbutt
镜光射击,ミラーショット,Mirror Shot
加农光炮,ラスターカノン,Flash Cannon
攀岩,ロッククライム,Rock Climb
清除浓雾,きりばらい,Defog
戏法空间,トリックルーム,Trick Room
流星群,りゅうせいぐん,Draco Meteor
放电,ほうでん,Discharge
喷烟,ふんえん,Lava Plume
飞叶风暴,リーフストーム,Leaf Storm
强力鞭打,パワーウィップ,Power Whip
岩石炮,がんせきほう,Rock Wrecker
十字毒刃,クロスポイズン,Cross Poison
垃圾射击,ダストシュート,Gunk Shot
铁头,アイアンヘッド,Iron Head
磁铁炸弹,マグネットボム,Magnet Bomb
尖石攻击,ストーンエッジ,Stone Edge
诱惑,ゆうわく,Captivate
隐形岩,ステルスロック,Stealth Rock
打草结,くさむすび,Grass Knot
喋喋不休,おしゃべり,Chatter
制裁光砾,さばきのつぶて,Judgment
虫咬,むしくい,Bug Bite
充电光束,チャージビーム,Charge Beam
木槌,ウッドハンマー,Wood Hammer
水流喷射,アクアジェット,Aqua Jet
攻击指令,こうげきしれい,Attack Order
防御指令,ぼうぎょしれい,Defend Order
回复指令,かいふくしれい,Heal Order
双刃头锤,もろはのずつき,Head Smash
二连击,ダブルアタック,Double Hit
时光咆哮,ときのほうこう,Roar of Time
亚空裂斩,あくうせつだん,Spacial Rend
新月舞,みかづきのまい,Lunar Dance
捏碎,にぎりつぶす,Crush Grip
熔岩风暴,マグマストーム,Magma Storm
暗黑洞,ダークホール,Dark Void
种子闪光,シードフレア,Seed Flare
奇异之风,あやしいかぜ,Ominous Wind
暗影潜袭,シャドーダイブ,Shadow Force
磨爪,つめとぎ,Hone Claws
广域防守,ワイドガード,Wide Guard
防守平分,ガードシェア,Guard Split
力量平分,パワーシェア,Power Split
奇妙空间,ワンダールーム,Wonder Room
精神冲击,サイコショック,Psyshock
毒液冲击,ベノムショック,Venoshock
身体轻量化,ボディパージ,Autotomize
愤怒粉,いかりのこな,Rage Powder
意念移物,テレキネシス,Telekinesis
魔法空间,マジックルーム,Magic Room
击落,うちおとす,Smack Down
山岚摔,やまあらし,Storm Throw
烈焰溅射,はじけるほのお,Flame Burst
污泥波,ヘドロウェーブ,Sludge Wave
蝶舞,ちょうのまい,Quiver Dance
重磅冲撞,ヘビーボンバー,Heavy Slam
同步干扰,シンクロノイズ,Synchronoise
电球,エレキボール,Electro Ball
浸水,みずびたし,Soak
蓄能焰袭,ニトロチャージ,Flame Charge
盘蜷,とぐろをまく,Coil
下盘踢,ローキック,Low Sweep
酸液炸弹,アシッドボム,Acid Spray
欺诈,イカサマ,Foul Play
单纯光束,シンプルビーム,Simple Beam
找伙伴,なかまづくり,Entrainment
您先请,おさきにどうぞ,After You
轮唱,りんしょう,Round
回声,エコーボイス,Echoed Voice
逐步击破,なしくずし,Chip Away
清除之烟,クリアスモッグ,Clear Smog
辅助力量,アシストパワー,Stored Power
快速防守,ファストガード,Quick Guard
交换场地,サイドチェンジ,Ally Switch
热水,ねっとう,Scald
破壳,からをやぶる,Shell Smash
治愈波动,いやしのはどう,Heal Pulse
祸不单行,たたりめ,Hex
自由落体,フリーフォール,Sky Drop
换挡,ギアチェンジ,Shift Gear
巴投,ともえなげ,Circle Throw
烧尽,やきつくす,Incinerate
延后,さきおくり,Quash
杂技,アクロバット,Acrobatics
镜面属性,ミラータイプ,Reflect Type
报仇,かたきうち,Retaliate
搏命,いのちがけ,Final Gambit
传递礼物,ギフトパス,Bestow
炼狱,れんごく,Inferno
水之誓约,みずのちかい,Water Pledge
火之誓约,ほのおのちかい,Fire Pledge
草之誓约,くさのちかい,Grass Pledge
伏特替换,ボルトチェンジ,Volt Switch
虫之抵抗,むしのていこう,Struggle Bug
重踏,じならし,Bulldoze
冰息,こおりのいぶき,Frost Breath
龙尾,ドラゴンテール,Dragon Tail
自我激励,ふるいたてる,Work Up
电网,エレキネット,Electroweb
疯狂伏特,ワイルドボルト,Wild Charge
直冲钻,ドリルライナー,Drill Run
二连劈,ダブルチョップ,Dual Chop
爱心印章,ハートスタンプ,Heart Stamp
木角,ウッドホーン,Horn Leech
圣剑,せいなるつるぎ,Sacred Sword
贝壳刃,シェルブレード,Razor Shell
高温重压,ヒートスタンプ,Heat Crash
青草搅拌器,グラスミキサー,Leaf Tornado
疯狂滚压,ハードローラー,Steamroller
棉花防守,コットンガード,Cotton Guard
暗黑爆破,ナイトバースト,Night Daze
精神击破,サイコブレイク,Psystrike
扫尾拍打,スイープビンタ,Tail Slap
暴风,ぼうふう,Hurricane
爆炸头突击,アフロブレイク,Head Charge
齿轮飞盘,ギアソーサー,Gear Grind
火焰弹,かえんだん,Searing Shot
高科技光炮,テクノバスター,Techno Blast
古老之歌,いにしえのうた,Relic Song
神秘之剑,しんぴのつるぎ,Secret Sword
冰封世界,こごえるせかい,Glaciate
雷击,らいげき,Bolt Strike
青焰,あおいほのお,Blue Flare
火之舞,ほのおのまい,Fiery Dance
冰冻伏特,フリーズボルト,Freeze Shock
极寒冷焰,コールドフレア,Ice Burn
大声咆哮,バークアウト,Snarl
冰柱坠击,つららおとし,Icicle Crash
Ｖ热焰,Ｖジェネレート,V-create
交错火焰,クロスフレイム,Fusion Flare
交错闪电,クロスサンダー,Fusion Bolt
飞身重压,フライングプレス,Flying Press
掀榻榻米,たたみがえし,Mat Block
打嗝,ゲップ,Belch
耕地,たがやす,Rototiller
黏黏网,ねばねばネット,Sticky Web
致命针刺,とどめばり,Fell Stinger
潜灵奇袭,ゴーストダイブ,Phantom Force
万圣夜,ハロウィン,Trick-or-Treat
战吼,おたけび,Noble Roar
等离子浴,プラズマシャワー,Ion Deluge
抛物面充电,パラボラチャージ,Parabolic Charge
森林诅咒,もりののろい,Forest's Curse
落英缤纷,はなふぶき,Petal Blizzard
冷冻干燥,フリーズドライ,Freeze-Dry
魅惑之声,チャームボイス,Disarming Voice
抛下狠话,すてゼリフ,Parting Shot
颠倒,ひっくりかえす,Topsy-Turvy
吸取之吻,ドレインキッス,Draining Kiss
戏法防守,トリックガード,Crafty Shield
鲜花防守,フラワーガード,Flower Shield
青草场地,グラスフィールド,Grassy Terrain
薄雾场地,ミストフィールド,Misty Terrain
输电,そうでん,Electrify
嬉闹,じゃれつく,Play Rough
妖精之风,ようせいのかぜ,Fairy Wind
月亮之力,ムーンフォース,Moonblast
爆音波,ばくおんぱ,Boomburst
妖精之锁,フェアリーロック,Fairy Lock
王者盾牌,キングシールド,King's Shield
和睦相处,なかよくする,Play Nice
密语,ないしょばなし,Confide
钻石风暴,ダイヤストーム,Diamond Storm
蒸汽爆炸,スチームバースト,Steam Eruption
异次元洞,いじげんホール,Hyperspace Hole
飞水手里剑,みずしゅりけん,Water Shuriken
魔法火焰,マジカルフレイム,Mystical Fire
尖刺防守,ニードルガード,Spiky Shield
芳香薄雾,アロマミスト,Aromatic Mist
怪异电波,かいでんぱ,Eerie Impulse
毒液陷阱,ベノムトラップ,Venom Drench
粉尘,ふんじん,Powder
大地掌控,ジオコントロール,Geomancy
磁场操控,じばそうさ,Magnetic Flux
欢乐时光,ハッピータイム,Happy Hour
电气场地,エレキフィールド,Electric Terrain
魔法闪耀,マジカルシャイン,Dazzling Gleam
庆祝,おいわい,Celebrate
牵手,てをつなぐ,Hold Hands
圆瞳,つぶらなひとみ,Baby-Doll Eyes
蹭蹭脸颊,ほっぺすりすり,Nuzzle
手下留情,てかげん,Hold Back
死缠烂打,まとわりつく,Infestation
增强拳,グロウパンチ,Power-Up Punch
死亡之翼,デスウイング,Oblivion Wing
千箭齐发,サウザンアロー,Thousand Arrows
千波激荡,サウザンウェーブ,Thousand Waves
大地神力,グランドフォース,Land's Wrath
破灭之光,はめつのひかり,Light of Ruin
根源波动,こんげんのはどう,Origin Pulse
断崖之剑,だんがいのつるぎ,Precipice Blades
画龙点睛,ガリョウテンセイ,Dragon Ascent
异次元猛攻,いじげんラッシュ,Hyperspace Fury
究极无敌大冲撞,ウルトラダッシュアタック,Breakneck Blitz
全力无双激烈拳,ぜんりょくむそうげきれつけん,All-Out Pummeling
极速俯冲轰烈撞,ファイナルダイブクラッシュ,Supersonic Skystrike
强酸剧毒灭绝雨,アシッドポイズンデリート,Acid Downpour
地隆啸天大终结,ライジングランドオーバー,Tectonic Rage
毁天灭地巨岩坠,ワールズエンドフォール,Continental Crush
绝对捕食回旋斩,ぜったいほしょくかいてんざん,Savage Spin-Out
无尽暗夜之诱惑,むげんあんやへのいざない,Never-Ending Nightmare
超绝螺旋连击,ちょうぜつらせんれんげき,Corkscrew Crash
超强极限爆焰弹,ダイナミックフルフレイム,Inferno Overdrive
超级水流大漩涡,スーパーアクアトルネード,Hydro Vortex
绚烂缤纷花怒放,ブルームシャインエクストラ,Bloom Doom
终极伏特狂雷闪,スパーキングギガボルト,Gigavolt Havoc
至高精神破坏波,マキシマムサイブレイカー,Shattered Psyche
激狂大地万里冰,レイジングジオフリーズ,Subzero Slammer
究极巨龙震天地,アルティメットドラゴンバーン,Devastating Drake
黑洞吞噬万物灭,ブラックホールイクリプス,Black Hole Eclipse
可爱星星飞天撞,ラブリースターインパクト,Twinkle Tackle
皮卡皮卡必杀击,ひっさつのピカチュート,Catastropika
集沙,すなあつめ,Shore Up
迎头一击,であいがしら,First Impression
碉堡,トーチカ,Baneful Bunker
缝影,かげぬい,Spirit Shackle
ＤＤ金勾臂,ＤＤラリアット,Darkest Lariat
泡影的咏叹调,うたかたのアリア,Sparkling Aria
冰锤,アイスハンマー,Ice Hammer
花疗,フラワーヒール,Floral Healing
十万马力,１０まんばりき,High Horsepower
吸取力量,ちからをすいとる,Strength Sap
日光刃,ソーラーブレード,Solar Blade
树叶,このは,Leafage
聚光灯,スポットライト,Spotlight
毒丝,どくのいと,Toxic Thread
磨砺,とぎすます,Laser Focus
辅助齿轮,アシストギア,Gear Up
地狱突刺,じごくづき,Throat Chop
花粉团,かふんだんご,Pollen Puff
掷锚,アンカーショット,Anchor Shot
精神场地,サイコフィールド,Psychic Terrain
猛扑,とびかかる,Lunge
火焰鞭,ほのおのムチ,Fire Lash
嚣张,つけあがる,Power Trip
燃尽,もえつきる,Burn Up
速度互换,スピードスワップ,Speed Swap
修长之角,スマートホーン,Smart Strike
净化,じょうか,Purify
觉醒之舞,めざめるダンス,Revelation Dance
核心惩罚者,コアパニッシャー,Core Enforcer
热带踢,トロピカルキック,Trop Kick
号令,さいはい,Instruct
鸟嘴加农炮,くちばしキャノン,Beak Blast
鳞片噪音,スケイルノイズ,Clanging Scales
龙锤,ドラゴンハンマー,Dragon Hammer
狂舞挥打,ぶんまわす,Brutal Swing
极光幕,オーロラベール,Aurora Veil
遮天蔽日暗影箭,シャドーアローズストライク,Sinister Arrow Raid
极恶飞跃粉碎击,ハイパーダーククラッシャー,Malicious Moonsault
海神庄严交响乐,わだつみのシンフォニア,Oceanic Operetta
巨人卫士・阿罗拉,ガーディアン・デ・アローラ,Guardian of Alola
七星夺魂腿,しちせいだっこんたい,Soul-Stealing 7-Star Strike
驾雷驭电戏冲浪,ライトニングサーフライド,Stoked Sparksurfer
认真起来大爆击,ほんきをだす　こうげき,Pulverizing Pancake
九彩升华齐聚顶,ナインエボルブースト,Extreme Evoboost
起源超新星大爆炸,オリジンズスーパーノヴァ,Genesis Supernova
陷阱甲壳,トラップシェル,Shell Trap
花朵加农炮,フルールカノン,Fleur Cannon
精神之牙,サイコファング,Psychic Fangs
跺脚,じだんだ,Stomping Tantrum
暗影之骨,シャドーボーン,Shadow Bone
冲岩,アクセルロック,Accelerock
水流裂破,アクアブレイク,Liquidation
棱镜镭射,プリズムレーザー,Prismatic Laser
暗影偷盗,シャドースチール,Spectral Thief
流星闪冲,メテオドライブ,Sunsteel Strike
暗影之光,シャドーレイ,Moongeist Beam
泪眼汪汪,なみだめ,Tearful Look
麻麻刺刺,びりびりちくちく,Zing Zap
自然之怒,しぜんのいかり,Nature's Madness
多属性攻击,マルチアタック,Multi-Attack
千万伏特,１０００まんボルト,10,000,000 Volt Thunderbolt
