白金宝珠,はっきんだま,Griseous Orb
水流卡带,アクアカセット,Douse Drive
闪电卡带,イナズマカセット,Shock Drive
火焰卡带,ブレイズカセット,Burn Drive
冰冻卡带,フリーズカセット,Chill Drive

心形甜点,ハートスイーツ,Sweet Heart
金刚宝珠,こんごうだま,Adamant Orb
白玉宝珠,しらたま,Lustrous Orb
初次邮件,はじめてメール,Greet Mail
喜爱邮件,だいすきメール,Favored Mail
邀请邮件,おさそいメール,RSVP Mail
感谢邮件,かんしゃメール,Thanks Mail
询问邮件,しつもんメール,Inquiry Mail
推荐邮件,おすすめメール,Like Mail
回复邮件,おかえしメール,Reply Mail
桥梁邮件Ｓ,ブリッジメールＳ,Bridge Mail S
桥梁邮件Ｈ,ブリッジメールＨ,Bridge Mail D
桥梁邮件Ｃ,ブリッジメールＣ,Bridge Mail T
桥梁邮件Ｖ,ブリッジメールＶ,Bridge Mail V
桥梁邮件Ｗ,ブリッジメールＷ,Bridge Mail M
樱子果,クラボのみ,Cheri Berry
零余果,カゴのみ,Chesto Berry
桃桃果,モモンのみ,Pecha Berry
莓莓果,チーゴのみ,Rawst Berry
利木果,ナナシのみ,Aspear Berry
苹野果,ヒメリのみ,Leppa Berry
橙橙果,オレンのみ,Oran Berry
柿仔果,キーのみ,Persim Berry
木子果,ラムのみ,Lum Berry
文柚果,オボンのみ,Sitrus Berry
勿花果,フィラのみ,Figy Berry
异奇果,ウイのみ,Wiki Berry
芒芒果,マゴのみ,Mago Berry
乐芭果,バンジのみ,Aguav Berry
芭亚果,イアのみ,Iapapa Berry
蔓莓果,ズリのみ,Razz Berry
墨莓果,ブリーのみ,Bluk Berry
蕉香果,ナナのみ,Nanab Berry
西梨果,セシナのみ,Wepear Berry
凰梨果,パイルのみ,Pinap Berry
榴石果,ザロクのみ,Pomeg Berry
藻根果,ネコブのみ,Kelpsy Berry
比巴果,タポルのみ,Qualot Berry
哈密果,ロメのみ,Hondew Berry
萄葡果,ウブのみ,Grepa Berry
茄番果,マトマのみ,Tamato Berry
玉黍果,モコシのみ,Cornn Berry
岳竹果,ゴスのみ,Magost Berry
茸丹果,ラブタのみ,Rabuta Berry
檬柠果,ノメルのみ,Nomel Berry
刺角果,ノワキのみ,Spelon Berry
椰木果,シーヤのみ,Pamtre Berry
瓜西果,カイスのみ,Watmel Berry
金枕果,ドリのみ,Durin Berry
靛莓果,ベリブのみ,Belue Berry
巧可果,オッカのみ,Occa Berry
千香果,イトケのみ,Passho Berry
烛木果,ソクノのみ,Wacan Berry
罗子果,リンドのみ,Rindo Berry
番荔果,ヤチェのみ,Yache Berry
莲蒲果,ヨプのみ,Chople Berry
通通果,ビアーのみ,Kebia Berry
腰木果,シュカのみ,Shuca Berry
棱瓜果,バコウのみ,Coba Berry
福禄果,ウタンのみ,Payapa Berry
扁樱果,タンガのみ,Tanga Berry
草蚕果,ヨロギのみ,Charti Berry
佛柑果,カシブのみ,Kasib Berry
莓榴果,ハバンのみ,Haban Berry
刺耳果,ナモのみ,Colbur Berry
霹霹果,リリバのみ,Babiri Berry
灯浆果,ホズのみ,Chilan Berry
枝荔果,チイラのみ,Liechi Berry
龙睛果,リュガのみ,Ganlon Berry
沙鳞果,カムラのみ,Salac Berry
龙火果,ヤタピのみ,Petaya Berry
杏仔果,ズアのみ,Apicot Berry
兰萨果,サンのみ,Lansat Berry
星桃果,スターのみ,Starf Berry
谜芝果,ナゾのみ,Enigma Berry
奇秘果,ミクルのみ,Micle Berry
释陀果,イバンのみ,Custap Berry
嘉珍果,ジャポのみ,Jaboca Berry
雾莲果,レンブのみ,Rowap Berry
光粉,ひかりのこな,Bright Powder
白色香草,しろいハーブ,White Herb
强制锻炼器,きょうせいギプス,Macho Brace
学习装置,がくしゅうそうち,Exp. Share
先制之爪,せんせいのツメ,Quick Claw
安抚之铃,やすらぎのすず,Soothe Bell
心灵香草,メンタルハーブ,Mental Herb
讲究头带,こだわりハチマキ,Choice Band
王者之证,おうじゃのしるし,King's Rock
银粉,ぎんのこな,Silver Powder
护符金币,おまもりこばん,Amulet Coin
洁净之符,きよめのおふだ,Cleanse Tag
心之水滴,こころのしずく,Soul Dew
深海之牙,しんかいのキバ,Deep Sea Tooth
深海鳞片,しんかいのウロコ,Deep Sea Scale
烟雾球,けむりだま,Smoke Ball
不变之石,かわらずのいし,Everstone
气势头带,きあいのハチマキ,Focus Band
幸运蛋,しあわせタマゴ,Lucky Egg
焦点镜,ピントレンズ,Scope Lens
金属膜,メタルコート,Metal Coat
吃剩的东西,たべのこし,Leftovers
龙之鳞片,りゅうのウロコ,Dragon Scale
电气球,でんきだま,Light Ball
柔软沙子,やわらかいすな,Soft Sand
硬石头,かたいいし,Hard Stone
奇迹种子,きせきのタネ,Miracle Seed
黑色眼镜,くろいメガネ,Black Glasses
黑带,くろおび,Black Belt
磁铁,じしゃく,Magnet
神秘水滴,しんぴのしずく,Mystic Water
锐利鸟嘴,するどいくちばし,Sharp Beak
毒针,どくバリ,Poison Barb
不融冰,とけないこおり,Never-Melt Ice
诅咒之符,のろいのおふだ,Spell Tag
弯曲的汤匙,まがったスプーン,Twisted Spoon
木炭,もくたん,Charcoal
龙之牙,りゅうのキバ,Dragon Fang
丝绸围巾,シルクのスカーフ,Silk Scarf
升级数据,アップグレード,Up-Grade
贝壳之铃,かいがらのすず,Shell Bell
海潮薰香,うしおのおこう,Sea Incense
悠闲薰香,のんきのおこう,Lax Incense
吉利拳,ラッキーパンチ,Lucky Punch
金属粉,メタルパウダー,Metal Powder
粗骨头,ふといホネ,Thick Club
大葱,ながねぎ,Stick
红色头巾,あかいバンダナ,Red Scarf
蓝色头巾,あおいバンダナ,Blue Scarf
粉红头巾,ピンクのバンダナ,Pink Scarf
绿色头巾,みどりのバンダナ,Green Scarf
黄色头巾,きいろのバンダナ,Yellow Scarf
广角镜,こうかくレンズ,Wide Lens
力量头带,ちからのハチマキ,Muscle Band
博识眼镜,ものしりメガネ,Wise Glasses
达人带,たつじんのおび,Expert Belt
光之黏土,ひかりのねんど,Light Clay
生命宝珠,いのちのたま,Life Orb
强力香草,パワフルハーブ,Power Herb
剧毒宝珠,どくどくだま,Toxic Orb
火焰宝珠,かえんだま,Flame Orb
速度粉,スピードパウダー,Quick Powder
气势披带,きあいのタスキ,Focus Sash
对焦镜,フォーカスレンズ,Zoom Lens
节拍器,メトロノーム,Metronome
黑色铁球,くろいてっきゅう,Iron Ball
后攻之尾,こうこうのしっぽ,Lagging Tail
红线,あかいいと,Destiny Knot
黑色污泥,くろいヘドロ,Black Sludge
冰冷岩石,つめたいいわ,Icy Rock
沙沙岩石,さらさらいわ,Smooth Rock
炽热岩石,あついいわ,Heat Rock
潮湿岩石,しめったいわ,Damp Rock
紧缠钩爪,ねばりのかぎづめ,Grip Claw
讲究围巾,こだわりスカーフ,Choice Scarf
附着针,くっつきバリ,Sticky Barb
力量护腕,パワーリスト,Power Bracer
力量腰带,パワーベルト,Power Belt
力量镜,パワーレンズ,Power Lens
力量束带,パワーバンド,Power Band
力量护踝,パワーアンクル,Power Anklet
力量负重,パワーウエイト,Power Weight
美丽空壳,きれいなぬけがら,Shed Shell
大根茎,おおきなねっこ,Big Root
讲究眼镜,こだわりメガネ,Choice Specs
火球石板,ひのたまプレート,Flame Plate
水滴石板,しずくプレート,Splash Plate
雷电石板,いかずちプレート,Zap Plate
碧绿石板,みどりのプレート,Meadow Plate
冰柱石板,つららのプレート,Icicle Plate
拳头石板,こぶしのプレート,Fist Plate
剧毒石板,もうどくプレート,Toxic Plate
大地石板,だいちのプレート,Earth Plate
蓝天石板,あおぞらプレート,Sky Plate
神奇石板,ふしぎのプレート,Mind Plate
玉虫石板,たまむしプレート,Insect Plate
岩石石板,がんせきプレート,Stone Plate
妖怪石板,もののけプレート,Spooky Plate
龙之石板,りゅうのプレート,Draco Plate
恶颜石板,こわもてプレート,Dread Plate
钢铁石板,こうてつプレート,Iron Plate
奇异薰香,あやしいおこう,Odd Incense
岩石薰香,がんせきおこう,Rock Incense
饱腹薰香,まんぷくおこう,Full Incense
涟漪薰香,さざなみのおこう,Wave Incense
花朵薰香,おはなのおこう,Rose Incense
幸运薰香,こううんのおこう,Luck Incense
洁净薰香,きよめのおこう,Pure Incense
护具,プロテクター,Protector
电力增幅器,エレキブースター,Electirizer
熔岩增幅器,マグマブースター,Magmarizer
可疑补丁,あやしいパッチ,Dubious Disc
灵界之布,れいかいのぬの,Reaper Cloth
锐利之爪,するどいツメ,Razor Claw
锐利之牙,するどいキバ,Razor Fang
招式学习器０１,わざマシン０１,TM01
招式学习器０２,わざマシン０２,TM02
招式学习器０３,わざマシン０３,TM03
招式学习器０４,わざマシン０４,TM04
招式学习器０５,わざマシン０５,TM05
招式学习器０６,わざマシン０６,TM06
招式学习器０７,わざマシン０７,TM07
招式学习器０８,わざマシン０８,TM08
招式学习器０９,わざマシン０９,TM09
招式学习器１０,わざマシン１０,TM10
招式学习器１１,わざマシン１１,TM11
招式学习器１２,わざマシン１２,TM12
招式学习器１３,わざマシン１３,TM13
招式学习器１４,わざマシン１４,TM14
招式学习器１５,わざマシン１５,TM15
招式学习器１６,わざマシン１６,TM16
招式学习器１７,わざマシン１７,TM17
招式学习器１８,わざマシン１８,TM18
招式学习器１９,わざマシン１９,TM19
招式学习器２０,わざマシン２０,TM20
招式学习器２１,わざマシン２１,TM21
招式学习器２２,わざマシン２２,TM22
招式学习器２３,わざマシン２３,TM23
招式学习器２４,わざマシン２４,TM24
招式学习器２５,わざマシン２５,TM25
招式学习器２６,わざマシン２６,TM26
招式学习器２７,わざマシン２７,TM27
招式学习器２８,わざマシン２８,TM28
招式学习器２９,わざマシン２９,TM29
招式学习器３０,わざマシン３０,TM30
招式学习器３１,わざマシン３１,TM31
招式学习器３２,わざマシン３２,TM32
招式学习器３３,わざマシン３３,TM33
招式学习器３４,わざマシン３４,TM34
招式学习器３５,わざマシン３５,TM35
招式学习器３６,わざマシン３６,TM36
招式学习器３７,わざマシン３７,TM37
招式学习器３８,わざマシン３８,TM38
招式学习器３９,わざマシン３９,TM39
招式学习器４０,わざマシン４０,TM40
招式学习器４１,わざマシン４１,TM41
招式学习器４２,わざマシン４２,TM42
招式学习器４３,わざマシン４３,TM43
招式学习器４４,わざマシン４４,TM44
招式学习器４５,わざマシン４５,TM45
招式学习器４６,わざマシン４６,TM46
招式学习器４７,わざマシン４７,TM47
招式学习器４８,わざマシン４８,TM48
招式学习器４９,わざマシン４９,TM49
招式学习器５０,わざマシン５０,TM50
招式学习器５１,わざマシン５１,TM51
招式学习器５２,わざマシン５２,TM52
招式学习器５３,わざマシン５３,TM53
招式学习器５４,わざマシン５４,TM54
招式学习器５５,わざマシン５５,TM55
招式学习器５６,わざマシン５６,TM56
招式学习器５７,わざマシン５７,TM57
招式学习器５８,わざマシン５８,TM58
招式学习器５９,わざマシン５９,TM59
招式学习器６０,わざマシン６０,TM60
招式学习器６１,わざマシン６１,TM61
招式学习器６２,わざマシン６２,TM62
招式学习器６３,わざマシン６３,TM63
招式学习器６４,わざマシン６４,TM64
招式学习器６５,わざマシン６５,TM65
招式学习器６６,わざマシン６６,TM66
招式学习器６７,わざマシン６７,TM67
招式学习器６８,わざマシン６８,TM68
招式学习器６９,わざマシン６９,TM69
招式学习器７０,わざマシン７０,TM70
招式学习器７１,わざマシン７１,TM71
招式学习器７２,わざマシン７２,TM72
招式学习器７３,わざマシン７３,TM73
招式学习器７４,わざマシン７４,TM74
招式学习器７５,わざマシン７５,TM75
招式学习器７６,わざマシン７６,TM76
招式学习器７７,わざマシン７７,TM77
招式学习器７８,わざマシン７８,TM78
招式学习器７９,わざマシン７９,TM79
招式学习器８０,わざマシン８０,TM80
招式学习器８１,わざマシン８１,TM81
招式学习器８２,わざマシン８２,TM82
招式学习器８３,わざマシン８３,TM83
招式学习器８４,わざマシン８４,TM84
招式学习器８５,わざマシン８５,TM85
招式学习器８６,わざマシン８６,TM86
招式学习器８７,わざマシン８７,TM87
招式学习器８８,わざマシン８８,TM88
招式学习器８９,わざマシン８９,TM89
招式学习器９０,わざマシン９０,TM90
招式学习器９１,わざマシン９１,TM91
招式学习器９２,わざマシン９２,TM92
秘传学习器０１,ひでんマシン０１,HM01
秘传学习器０２,ひでんマシン０２,HM02
秘传学习器０３,ひでんマシン０３,HM03
秘传学习器０４,ひでんマシン０４,HM04
秘传学习器０５,ひでんマシン０５,HM05
秘传学习器０６,ひでんマシン０６,HM06
探险套装,たんけんセット,Explorer Kit
宝物袋,たからぶくろ,Loot Sack
规则书,ルールブック,Rule Book
宝可追踪,ポケトレ,Poké Radar
点数卡,ポイントカード,Point Card
冒险笔记,ぼうけんノート,Journal
贴纸盒,シールいれ,Seal Case
饰品盒,アクセサリーいれ,Fashion Case
贴纸袋,シールぶくろ,Seal Bag
朋友手册,ともだちてちょう,Pal Pad
发电厂钥匙,はつでんしょキー,Works Key
古代护符,こだいのおまもり,Old Charm
银河队钥匙,ギンガだんのカギ,Galactic Key
红色锁链,あかいくさり,Red Chain
城镇地图,タウンマップ,Town Map
对战搜寻器,バトルサーチャー,Vs. Seeker
代币盒,コインケース,Coin Case
破旧钓竿,ボロのつりざお,Old Rod
好钓竿,いいつりざお,Good Rod
厉害钓竿,すごいつりざお,Super Rod
可达鸭喷壶,コダックじょうろ,Sprayduck
宝芬盒,ポフィンケース,Poffin Case
自行车,じてんしゃ,Bike
房间钥匙,ルームキー,Suite Key
大木的信,オーキドのてがみ,Oak's Letter
新月之羽,みかづきのはね,Lunar Wing
会员卡,メンバーズカード,Member Card
天界之笛,てんかいのふえ,Azure Flute
船票,ふねのチケット,S.S. Ticket
华丽大赛参加证,コンテストパス,Contest Pass
火山镇石,かざんのおきいし,Magma Stone
包裹,おとどけもの,Parcel
兑换券１,ひきかえけん１,Coupon 1
兑换券２,ひきかえけん２,Coupon 2
兑换券３,ひきかえけん３,Coupon 3
仓库钥匙,そうこのカギ,Storage Key
秘传之药,ひでんのくすり,Secret Potion
对战记录器,バトルレコーダー,Vs. Recorder
葛拉西蒂亚花,グラシデアのはな,Gracidea
秘密钥匙,ひみつのカギ,Secret Key
球果盒,ぼんぐりケース,Apricorn Box
未知图腾笔记,アンノーンノート,Unown Report
树果种植盆,きのみプランター,Berry Pots
探宝器,ダウジングマシン,Dowsing Machine
蓝卡,ブルーカード,Blue Card
美味尾巴,おいしいシッポ,Slowpoke Tail
透明铃铛,とうめいなスズ,Clear Bell
钥匙卡,カードキー,Card Key
地下钥匙,ちかのかぎ,Basement Key
杰尼龟喷壶,ゼニガメじょうろ,Squirt Bottle
红色鳞片,あかいウロコ,Red Scale
遗失物,おとしもの,Lost Item
磁浮列车自由票,リニアパス,Pass
机械零件,きかいのぶひん,Machine Part
银色之羽,ぎんいろのはね,Silver Wing
虹色之羽,にじいろのはね,Rainbow Wing
神奇蛋,ふしぎなタマゴ,Mystery Egg
红球果,あかぼんぐり,Red Apricorn
蓝球果,あおぼんぐり,Blue Apricorn
黄球果,きぼんぐり,Yellow Apricorn
绿球果,みどぼんぐり,Green Apricorn
粉球果,ももぼんぐり,Pink Apricorn
白球果,しろぼんぐり,White Apricorn
黑球果,くろぼんぐり,Black Apricorn
速度球,スピードボール,Fast Ball
等级球,レベルボール,Level Ball
诱饵球,ルアーボール,Lure Ball
沉重球,ヘビーボール,Heavy Ball
甜蜜球,ラブラブボール,Love Ball
友友球,フレンドボール,Friend Ball
月亮球,ムーンボール,Moon Ball
竞赛球,コンペボール,Sport Ball
公园球,パークボール,Park Ball
相册,フォトアルバム,Photo Album
ＧＢ播放器,ＧＢプレイヤー,GB Sounds
海声铃铛,うみなりのスズ,Tidal Bell
愤怒馒头,いかりまんじゅう,Rage Candy Bar
数据卡０１,データカード０１,Data Card 01
数据卡０２,データカード０２,Data Card 02
数据卡０３,データカード０３,Data Card 03
数据卡０４,データカード０４,Data Card 04
数据卡０５,データカード０５,Data Card 05
数据卡０６,データカード０６,Data Card 06
数据卡０７,データカード０７,Data Card 07
数据卡０８,データカード０８,Data Card 08
数据卡０９,データカード０９,Data Card 09
数据卡１０,データカード１０,Data Card 10
数据卡１１,データカード１１,Data Card 11
数据卡１２,データカード１２,Data Card 12
数据卡１３,データカード１３,Data Card 13
数据卡１４,データカード１４,Data Card 14
数据卡１５,データカード１５,Data Card 15
数据卡１６,データカード１６,Data Card 16
数据卡１７,データカード１７,Data Card 17
数据卡１８,データカード１８,Data Card 18
数据卡１９,データカード１９,Data Card 19
数据卡２０,データカード２０,Data Card 20
数据卡２１,データカード２１,Data Card 21
数据卡２２,データカード２２,Data Card 22
数据卡２３,データカード２３,Data Card 23
数据卡２４,データカード２４,Data Card 24
数据卡２５,データカード２５,Data Card 25
数据卡２６,データカード２６,Data Card 26
数据卡２７,データカード２７,Data Card 27
草绿色宝珠,もえぎいろのたま,Jade Orb
上锁的容器,ロックカプセル,Lock Capsule
朱红色宝珠,べにいろのたま,Red Orb
靛蓝色宝珠,あいいろのたま,Blue Orb
谜之水晶,なぞのすいしょう,Enigma Stone
美丽鳞片,きれいなウロコ,Prism Scale
进化奇石,しんかのきせき,Eviolite
轻石,かるいし,Float Stone
凸凸头盔,ゴツゴツメット,Rocky Helmet
气球,ふうせん,Air Balloon
红牌,レッドカード,Red Card
标靶,ねらいのまと,Ring Target
紧绑束带,しめつけバンド,Binding Band
球根,きゅうこん,Absorb Bulb
充电电池,じゅうでんち,Cell Battery
逃脱按键,だっしゅつボタン,Eject Button
火之宝石,ほのおのジュエル,Fire Gem
水之宝石,みずのジュエル,Water Gem
电之宝石,でんきのジュエル,Electric Gem
草之宝石,くさのジュエル,Grass Gem
冰之宝石,こおりのジュエル,Ice Gem
格斗宝石,かくとうジュエル,Fighting Gem
毒之宝石,どくのジュエル,Poison Gem
地面宝石,じめんのジュエル,Ground Gem
飞行宝石,ひこうのジュエル,Flying Gem
超能力宝石,エスパージュエル,Psychic Gem
虫之宝石,むしのジュエル,Bug Gem
岩石宝石,いわのジュエル,Rock Gem
幽灵宝石,ゴーストジュエル,Ghost Gem
龙之宝石,ドラゴンジュエル,Dragon Gem
恶之宝石,あくのジュエル,Dark Gem
钢之宝石,はがねのジュエル,Steel Gem
一般宝石,ノーマルジュエル,Normal Gem
体力之羽,たいりょくのハネ,Health Wing
肌力之羽,きんりょくのハネ,Muscle Wing
抵抗之羽,ていこうのハネ,Resist Wing
智力之羽,ちりょくのハネ,Genius Wing
精神之羽,せいしんのハネ,Clever Wing
瞬发之羽,しゅんぱつのハネ,Swift Wing
美丽之羽,きれいなハネ,Pretty Wing
背盖化石,ふたのカセキ,Cover Fossil
羽毛化石,はねのカセキ,Plume Fossil
自由船票,リバティチケット,Liberty Pass
释出之玉,デルダマ,Pass Orb
梦境球,ドリームボール,Dream Ball
宝可尾草,ポケじゃらし,Poké Toy
物品箱,グッズケース,Prop Case
龙之骨,ドラゴンのホネ,Dragon Skull
芳香蘑菇,かおるキノコ,Balm Mushroom
巨大金珠,でかいきんのたま,Big Nugget
丸子珍珠,おだんごしんじゅ,Pearl String
彗星碎片,すいせいのかけら,Comet Shard
古代铜币,こだいのどうか,Relic Copper
古代银币,こだいのぎんか,Relic Silver
古代金币,こだいのきんか,Relic Gold
古代之壶,こだいのツボ,Relic Vase
古代手镯,こだいのうでわ,Relic Band
古代石像,こだいのせきぞう,Relic Statue
古代王冠,こだいのおうかん,Relic Crown
飞云冰淇淋,ヒウンアイス,Casteliacone
要害攻击２,クリティカット２,Dire Hit 2
速度强化２,スピーダー２,X Speed 2
特攻强化２,ＳＰアップ２,X Sp. Atk 2
特防强化２,ＳＰガード２,X Sp. Def 2
防御强化２,ディフェンダー２,X Defense 2
力量强化２,プラスパワー２,X Attack 2
命中强化２,ヨクアタール２,X Accuracy 2
速度强化３,スピーダー３,X Speed 3
特攻强化３,ＳＰアップ３,X Sp. Atk 3
特防强化３,ＳＰガード３,X Sp. Def 3
防御强化３,ディフェンダー３,X Defense 3
力量强化３,プラスパワー３,X Attack 3
命中强化３,ヨクアタール３,X Accuracy 3
速度强化６,スピーダー６,X Speed 6
特攻强化６,ＳＰアップ６,X Sp. Atk 6
特防强化６,ＳＰガード６,X Sp. Def 6
防御强化６,ディフェンダー６,X Defense 6
力量强化６,プラスパワー６,X Attack 6
命中强化６,ヨクアタール６,X Accuracy 6
特性召唤,スキルコール,Ability Urge
道具击落,アイテムドロップ,Item Drop
道具召唤,アイテムコール,Item Urge
恢复召唤,フラットコール,Reset Urge
要害攻击３,クリティカット３,Dire Hit 3
光明石,ライトストーン,Light Stone
黑暗石,ダークストーン,Dark Stone
招式学习器９３,わざマシン９３,TM93
招式学习器９４,わざマシン９４,TM94
招式学习器９５,わざマシン９５,TM95
即时通讯器,ライブキャスター,Xtransceiver
神石,ゴッドストーン,???
配送物品１,はいたつぶつ１,Gram 1
配送物品２,はいたつぶつ２,Gram 2
配送物品３,はいたつぶつ３,Gram 3
即时通讯器,ライブキャスター,Xtransceiver
奖牌盒,メダルボックス,Medal Box
基因之楔,いでんしのくさび,DNA Splicers
基因之楔,いでんしのくさび,DNA Splicers
许可证,きょかしょう,Permit
圆形护符,まるいおまもり,Oval Charm
闪耀护符,ひかるおまもり,Shiny Charm
等离子卡,プラズマカード,Plasma Card
脏手帕,よごれたハンカチ,Grubby Hanky
阿克罗玛机器,アクロママシーン,Colress Machine
遗忘物,わすれもの,Dropped Item
遗忘物,わすれもの,Dropped Item
现形镜,うつしかがみ,Reveal Glass
弱点保险,じゃくてんほけん,Weakness Policy
突击背心,とつげきチョッキ,Assault Vest
全息影像通讯器,ホロキャスター,Holo Caster
博士的信,はかせのてがみ,Prof's Letter
轮滑鞋,ローラースケート,Roller Skates
妖精石板,せいれいプレート,Pixie Plate
特性胶囊,とくせいカプセル,Ability Capsule
泡沫奶油,ホイップポップ,Whipped Dream
香袋,においぶくろ,Sachet
光苔,ひかりごけ,Luminous Moss
雪球,ゆきだま,Snowball
防尘护目镜,ぼうじんゴーグル,Safety Goggles
宝可梦之笛,ポケモンのふえ,Poké Flute
硕果肥,たわわこやし,Rich Mulch
吃惊肥,びっくりこやし,Surprise Mulch
劲劲肥,ぐんぐんこやし,Boost Mulch
超效肥,とんでもこやし,Amaze Mulch
耿鬼进化石,ゲンガナイト,Gengarite
沙奈朵进化石,サーナイトナイト,Gardevoirite
电龙进化石,デンリュウナイト,Ampharosite
妙蛙花进化石,フシギバナイト,Venusaurite
喷火龙进化石Ｘ,リザードナイトＸ,Charizardite X
水箭龟进化石,カメックスナイト,Blastoisinite
超梦进化石Ｘ,ミュウツナイトＸ,Mewtwonite X
超梦进化石Ｙ,ミュウツナイトＹ,Mewtwonite Y
火焰鸡进化石,バシャーモナイト,Blazikenite
恰雷姆进化石,チャーレムナイト,Medichamite
黑鲁加进化石,ヘルガナイト,Houndoominite
波士可多拉进化石,ボスゴドラナイト,Aggronite
诅咒娃娃进化石,ジュペッタナイト,Banettite
班基拉斯进化石,バンギラスナイト,Tyranitarite
巨钳螳螂进化石,ハッサムナイト,Scizorite
凯罗斯进化石,カイロスナイト,Pinsirite
