蛋,タマゴ,Egg
小锯鳄,ワニノコ,Totodile
蓝鳄,アリゲイツ,Croconaw
大力鳄,オーダイル,Feraligatr
尾立,オタチ,Sentret
大尾立,オオタチ,Furret
咕咕,ホーホー,Hoothoot
猫头夜鹰,ヨルノズク,Noctowl
芭瓢虫,レディバ,Ledyba
安瓢虫,レディアン,Ledian
圆丝蛛,イトマル,Spinarak
阿利多斯,アリアドス,Ariados
叉字蝠,クロバット,Crobat
灯笼鱼,チョンチー,Chinchou
电灯怪,ランターン,Lanturn
皮丘,ピチュー,Pichu
皮宝宝,ピィ,Cleffa
宝宝丁,ププリン,Igglybuff
波克比,トゲピー,Togepi
波克基古,トゲチック,Togetic
天然雀,ネイティ,Natu
天然鸟,ネイティオ,Xatu
咩利羊,メリープ,Mareep
茸茸羊,モココ,Flaaffy
电龙,デンリュウ,Ampharos
美丽花,キレイハナ,Bellossom
玛力露,マリル,Marill
玛力露丽,マリルリ,Azumarill
树才怪,ウソッキー,Sudowoodo
蚊香蛙皇,ニョロトノ,Politoed
毽子草,ハネッコ,Hoppip
毽子花,ポポッコ,Skiploom
毽子棉,ワタッコ,Jumpluff
长尾怪手,エイパム,Aipom
向日种子,ヒマナッツ,Sunkern
向日花怪,キマワリ,Sunflora
蜻蜻蜓,ヤンヤンマ,Yanma
乌波,ウパー,Wooper
沼王,ヌオー,Quagsire
太阳伊布,エーフィ,Espeon
月亮伊布,ブラッキー,Umbreon
黑暗鸦,ヤミカラス,Murkrow
呆呆王,ヤドキング,Slowking
梦妖,ムウマ,Misdreavus
未知图腾,アンノーン,Unown
果然翁,ソーナンス,Wobbuffet
麒麟奇,キリンリキ,Girafarig
榛果球,クヌギダマ,Pineco
佛烈托斯,フォレトス,Forretress
土龙弟弟,ノコッチ,Dunsparce
天蝎,グライガー,Gligar
大钢蛇,ハガネール,Steelix
布鲁,ブルー,Snubbull
布鲁皇,グランブル,Granbull
千针鱼,ハリーセン,Qwilfish
巨钳螳螂,ハッサム,Scizor
壶壶,ツボツボ,Shuckle
赫拉克罗斯,ヘラクロス,Heracross
狃拉,ニューラ,Sneasel
熊宝宝,ヒメグマ,Teddiursa
圈圈熊,リングマ,Ursaring
熔岩虫,マグマッグ,Slugma
熔岩蜗牛,マグカルゴ,Magcargo
小山猪,ウリムー,Swinub
长毛猪,イノムー,Piloswine
太阳珊瑚,サニーゴ,Corsola
铁炮鱼,テッポウオ,Remoraid
章鱼桶,オクタン,Octillery
信使鸟,デリバード,Delibird
巨翅飞鱼,マンタイン,Mantine
盔甲鸟,エアームド,Skarmory
戴鲁比,デルビル,Houndour
黑鲁加,ヘルガー,Houndoom
刺龙王,キングドラ,Kingdra
小小象,ゴマゾウ,Phanpy
顿甲,ドンファン,Donphan
多边兽Ⅱ,ポリゴン２,Porygon2
惊角鹿,オドシシ,Stantler
图图犬,ドーブル,Smeargle
无畏小子,バルキー,Tyrogue
战舞郎,カポエラー,Hitmontop
迷唇娃,ムチュール,Smoochum
电击怪,エレキッド,Elekid
鸭嘴宝宝,ブビィ,Magby
大奶罐,ミルタンク,Miltank
幸福蛋,ハピナス,Blissey
雷公,ライコウ,Raikou
炎帝,エンテイ,Entei
水君,スイクン,Suicune
幼基拉斯,ヨーギラス,Larvitar
沙基拉斯,サナギラス,Pupitar
班基拉斯,バンギラス,Tyranitar
洛奇亚,ルギア,Lugia
凤王,ホウオウ,Ho-Oh
时拉比,セレビィ,Celebi
木守宫,キモリ,Treecko
森林蜥蜴,ジュプトル,Grovyle
蜥蜴王,ジュカイン,Sceptile
火稚鸡,アチャモ,Torchic
力壮鸡,ワカシャモ,Combusken
火焰鸡,バシャーモ,Blaziken
水跃鱼,ミズゴロウ,Mudkip
沼跃鱼,ヌマクロー,Marshtomp
巨沼怪,ラグラージ,Swampert
土狼犬,ポチエナ,Poochyena
大狼犬,グラエナ,Mightyena
蛇纹熊,ジグザグマ,Zigzagoon
直冲熊,マッスグマ,Linoone
刺尾虫,ケムッソ,Wurmple
甲壳茧,カラサリス,Silcoon
狩猎凤蝶,アゲハント,Beautifly
盾甲茧,マユルド,Cascoon
毒粉蛾,ドクケイル,Dustox
莲叶童子,ハスボー,Lotad
莲帽小童,ハスブレロ,Lombre
乐天河童,ルンパッパ,Ludicolo
橡实果,タネボー,Seedot
长鼻叶,コノハナ,Nuzleaf
狡猾天狗,ダーテング,Shiftry
傲骨燕,スバメ,Taillow
大王燕,オオスバメ,Swellow
长翅鸥,キャモメ,Wingull
大嘴鸥,ペリッパー,Pelipper
拉鲁拉丝,ラルトス,Ralts
奇鲁莉安,キルリア,Kirlia
沙奈朵,サーナイト,Gardevoir
溜溜糖球,アメタマ,Surskit
雨翅蛾,アメモース,Masquerain
蘑蘑菇,キノココ,Shroomish
斗笠菇,キノガッサ,Breloom
懒人獭,ナマケロ,Slakoth
过动猿,ヤルキモノ,Vigoroth
请假王,ケッキング,Slaking
土居忍士,ツチニン,Nincada
铁面忍者,テッカニン,Ninjask
脱壳忍者,ヌケニン,Shedinja
咕妞妞,ゴニョニョ,Whismur
吼爆弹,ドゴーム,Loudred
爆音怪,バクオング,Exploud
幕下力士,マクノシタ,Makuhita
铁掌力士,ハリテヤマ,Hariyama
露力丽,ルリリ,Azurill
朝北鼻,ノズパス,Nosepass
向尾喵,エネコ,Skitty
优雅猫,エネコロロ,Delcatty
勾魂眼,ヤミラミ,Sableye
大嘴娃,クチート,Mawile
可可多拉,ココドラ,Aron
可多拉,コドラ,Lairon
波士可多拉,ボスゴドラ,Aggron
玛沙那,アサナン,Meditite
恰雷姆,チャーレム,Medicham
落雷兽,ラクライ,Electrike
雷电兽,ライボルト,Manectric
正电拍拍,プラスル,Plusle
负电拍拍,マイナン,Minun
电萤虫,バルビート,Volbeat
甜甜萤,イルミーゼ,Illumise
毒蔷薇,ロゼリア,Roselia
溶食兽,ゴクリン,Gulpin
吞食兽,マルノーム,Swalot
利牙鱼,キバニア,Carvanha
巨牙鲨,サメハダー,Sharpedo
吼吼鲸,ホエルコ,Wailmer
吼鲸王,ホエルオー,Wailord
呆火驼,ドンメル,Numel
喷火驼,バクーダ,Camerupt
煤炭龟,コータス,Torkoal
跳跳猪,バネブー,Spoink
噗噗猪,ブーピッグ,Grumpig
晃晃斑,パッチール,Spinda
大颚蚁,ナックラー,Trapinch
超音波幼虫,ビブラーバ,Vibrava
沙漠蜻蜓,フライゴン,Flygon
刺球仙人掌,サボネア,Cacnea
梦歌仙人掌,ノクタス,Cacturne
青绵鸟,チルット,Swablu
七夕青鸟,チルタリス,Altaria
猫鼬斩,ザングース,Zangoose
饭匙蛇,ハブネーク,Seviper
月石,ルナトーン,Lunatone
太阳岩,ソルロック,Solrock
泥泥鳅,ドジョッチ,Barboach
鲶鱼王,ナマズン,Whiscash
龙虾小兵,ヘイガニ,Corphish
铁螯龙虾,シザリガー,Crawdaunt
天秤偶,ヤジロン,Baltoy
念力土偶,ネンドール,Claydol
触手百合,リリーラ,Lileep
摇篮百合,ユレイドル,Cradily
太古羽虫,アノプス,Anorith
太古盔甲,アーマルド,Armaldo
丑丑鱼,ヒンバス,Feebas
美纳斯,ミロカロス,Milotic
飘浮泡泡,ポワルン,Castform
变隐龙,カクレオン,Kecleon
怨影娃娃,カゲボウズ,Shuppet
诅咒娃娃,ジュペッタ,Banette
夜巡灵,ヨマワル,Duskull
彷徨夜灵,サマヨール,Dusclops
热带龙,トロピウス,Tropius
风铃铃,チリーン,Chimecho
阿勃梭鲁,アブソル,Absol
小果然,ソーナノ,Wynaut
雪童子,ユキワラシ,Snorunt
冰鬼护,オニゴーリ,Glalie
海豹球,タマザラシ,Spheal
海魔狮,トドグラー,Sealeo
帝牙海狮,トドゼルガ,Walrein
珍珠贝,パールル,Clamperl
猎斑鱼,ハンテール,Huntail
樱花鱼,サクラビス,Gorebyss
古空棘鱼,ジーランス,Relicanth
爱心鱼,ラブカス,Luvdisc
宝贝龙,タツベイ,Bagon
甲壳龙,コモルー,Shelgon
暴飞龙,ボーマンダ,Salamence
铁哑铃,ダンバル,Beldum
金属怪,メタング,Metang
巨金怪,メタグロス,Metagross
雷吉洛克,レジロック,Regirock
雷吉艾斯,レジアイス,Regice
雷吉斯奇鲁,レジスチル,Registeel
拉帝亚斯,ラティアス,Latias
拉帝欧斯,ラティオス,Latios
盖欧卡,カイオーガ,Kyogre
固拉多,グラードン,Groudon
烈空坐,レックウザ,Rayquaza
基拉祈,ジラーチ,Jirachi
代欧奇希斯,デオキシス,Deoxys
草苗龟,ナエトル,Turtwig
树林龟,ハヤシガメ,Grotle
土台龟,ドダイトス,Torterra
小火焰猴,ヒコザル,Chimchar
猛火猴,モウカザル,Monferno
烈焰猴,ゴウカザル,Infernape
波加曼,ポッチャマ,Piplup
波皇子,ポッタイシ,Prinplup
帝王拿波,エンペルト,Empoleon
姆克儿,ムックル,Starly
姆克鸟,ムクバード,Staravia
姆克鹰,ムクホーク,Staraptor
大牙狸,ビッパ,Bidoof
大尾狸,ビーダル,Bibarel
圆法师,コロボーシ,Kricketot
音箱蟀,コロトック,Kricketune
小猫怪,コリンク,Shinx
勒克猫,ルクシオ,Luxio
伦琴猫,レントラー,Luxray
含羞苞,スボミー,Budew
罗丝雷朵,ロズレイド,Roserade
头盖龙,ズガイドス,Cranidos
战槌龙,ラムパルド,Rampardos
盾甲龙,タテトプス,Shieldon
护城龙,トリデプス,Bastiodon
结草儿,ミノムッチ,Burmy
结草贵妇,ミノマダム,Wormadam
绅士蛾,ガーメイル,Mothim
三蜜蜂,ミツハニー,Combee
蜂女王,ビークイン,Vespiquen
帕奇利兹,パチリス,Pachirisu
泳圈鼬,ブイゼル,Buizel
浮潜鼬,フローゼル,Floatzel
樱花宝,チェリンボ,Cherubi
樱花儿,チェリム,Cherrim
无壳海兔,カラナクシ,Shellos
海兔兽,トリトドン,Gastrodon
双尾怪手,エテボース,Ambipom
飘飘球,フワンテ,Drifloon
随风球,フワライド,Drifblim
卷卷耳,ミミロル,Buneary
长耳兔,ミミロップ,Lopunny
梦妖魔,ムウマージ,Mismagius
乌鸦头头,ドンカラス,Honchkrow
魅力喵,ニャルマー,Glameow
东施喵,ブニャット,Purugly
铃铛响,リーシャン,Chingling
臭鼬噗,スカンプー,Stunky
坦克臭鼬,スカタンク,Skuntank
铜镜怪,ドーミラー,Bronzor
青铜钟,ドータクン,Bronzong
盆才怪,ウソハチ,Bonsly
魔尼尼,マネネ,Mime Jr.
小福蛋,ピンプク,Happiny
聒噪鸟,ペラップ,Chatot
花岩怪,ミカルゲ,Spiritomb
圆陆鲨,フカマル,Gible
尖牙陆鲨,ガバイト,Gabite
烈咬陆鲨,ガブリアス,Garchomp
小卡比兽,ゴンベ,Munchlax
利欧路,リオル,Riolu
路卡利欧,ルカリオ,Lucario
沙河马,ヒポポタス,Hippopotas
河马兽,カバルドン,Hippowdon
钳尾蝎,スコルピ,Skorupi
龙王蝎,ドラピオン,Drapion
不良蛙,グレッグル,Croagunk
毒骷蛙,ドクロッグ,Toxicroak
尖牙笼,マスキッパ,Carnivine
荧光鱼,ケイコウオ,Finneon
霓虹鱼,ネオラント,Lumineon
小球飞鱼,タマンタ,Mantyke
雪笠怪,ユキカブリ,Snover
暴雪王,ユキノオー,Abomasnow
玛狃拉,マニューラ,Weavile
自爆磁怪,ジバコイル,Magnezone
大舌舔,ベロベルト,Lickilicky
超甲狂犀,ドサイドン,Rhyperior
巨蔓藤,モジャンボ,Tangrowth
电击魔兽,エレキブル,Electivire
鸭嘴炎兽,ブーバーン,Magmortar
波克基斯,トゲキッス,Togekiss
远古巨蜓,メガヤンマ,Yanmega
叶伊布,リーフィア,Leafeon
冰伊布,グレイシア,Glaceon
天蝎王,グライオン,Gliscor
象牙猪,マンムー,Mamoswine
多边兽Ｚ,ポリゴンＺ,Porygon-Z
艾路雷朵,エルレイド,Gallade
大朝北鼻,ダイノーズ,Probopass
黑夜魔灵,ヨノワール,Dusknoir
雪妖女,ユキメノコ,Froslass
洛托姆,ロトム,Rotom
由克希,ユクシー,Uxie
艾姆利多,エムリット,Mesprit
亚克诺姆,アグノム,Azelf
帝牙卢卡,ディアルガ,Dialga
帕路奇亚,パルキア,Palkia
席多蓝恩,ヒードラン,Heatran
雷吉奇卡斯,レジギガス,Regigigas
骑拉帝纳,ギラティナ,Giratina
克雷色利亚,クレセリア,Cresselia
霏欧纳,フィオネ,Phione
玛纳霏,マナフィ,Manaphy
达克莱伊,ダークライ,Darkrai
谢米,シェイミ,Shaymin
阿尔宙斯,アルセウス,Arceus
比克提尼,ビクティニ,Victini
藤藤蛇,ツタージャ,Snivy
青藤蛇,ジャノビー,Servine
君主蛇,ジャローダ,Serperior
暖暖猪,ポカブ,Tepig
炒炒猪,チャオブー,Pignite
炎武王,エンブオー,Emboar
水水獭,ミジュマル,Oshawott
双刃丸,フタチマル,Dewott
大剑鬼,ダイケンキ,Samurott
探探鼠,ミネズミ,Patrat
步哨鼠,ミルホッグ,Watchog
小约克,ヨーテリー,Lillipup
哈约克,ハーデリア,Herdier
长毛狗,ムーランド,Stoutland
扒手猫,チョロネコ,Purrloin
酷豹,レパルダス,Liepard
花椰猴,ヤナップ,Pansage
花椰猿,ヤナッキー,Simisage
爆香猴,バオップ,Pansear
爆香猿,バオッキー,Simisear
冷水猴,ヒヤップ,Panpour
冷水猿,ヒヤッキー,Simipour
食梦梦,ムンナ,Munna
梦梦蚀,ムシャーナ,Musharna
豆豆鸽,マメパト,Pidove
咕咕鸽,ハトーボー,Tranquill
高傲雉鸡,ケンホロウ,Unfezant
斑斑马,シママ,Blitzle
雷电斑马,ゼブライカ,Zebstrika
石丸子,ダンゴロ,Roggenrola
地幔岩,ガントル,Boldore
庞岩怪,ギガイアス,Gigalith
滚滚蝙蝠,コロモリ,Woobat
心蝙蝠,ココロモリ,Swoobat
螺钉地鼠,モグリュー,Drilbur
龙头地鼠,ドリュウズ,Excadrill
差不多娃娃,タブンネ,Audino
搬运小匠,ドッコラー,Timburr
铁骨土人,ドテッコツ,Gurdurr
修建老匠,ローブシン,Conkeldurr
圆蝌蚪,オタマロ,Tympole
蓝蟾蜍,ガマガル,Palpitoad
蟾蜍王,ガマゲロゲ,Seismitoad
投摔鬼,ナゲキ,Throh
打击鬼,ダゲキ,Sawk
虫宝包,クルミル,Sewaddle
宝包茧,クルマユ,Swadloon
保姆虫,ハハコモリ,Leavanny
百足蜈蚣,フシデ,Venipede
车轮球,ホイーガ,Whirlipede
蜈蚣王,ペンドラー,Scolipede
木棉球,モンメン,Cottonee
风妖精,エルフーン,Whimsicott
百合根娃娃,チュリネ,Petilil
裙儿小姐,ドレディア,Lilligant
野蛮鲈鱼,バスラオ,Basculin
黑眼鳄,メグロコ,Sandile
混混鳄,ワルビル,Krokorok
流氓鳄,ワルビアル,Krookodile
火红不倒翁,ダルマッカ,Darumaka
达摩狒狒,ヒヒダルマ,Darmanitan
沙铃仙人掌,マラカッチ,Maractus
石居蟹,イシズマイ,Dwebble
岩殿居蟹,イワパレス,Crustle
滑滑小子,ズルッグ,Scraggy
头巾混混,ズルズキン,Scrafty
象征鸟,シンボラー,Sigilyph
哭哭面具,デスマス,Yamask
死神棺,デスカーン,Cofagrigus
原盖海龟,プロトーガ,Tirtouga
肋骨海龟,アバゴーラ,Carracosta
始祖小鸟,アーケン,Archen
始祖大鸟,アーケオス,Archeops
破破袋,ヤブクロン,Trubbish
灰尘山,ダストダス,Garbodor
索罗亚,ゾロア,Zorua
索罗亚克,ゾロアーク,Zoroark
泡沫栗鼠,チラーミィ,Minccino
奇诺栗鼠,チラチーノ,Cinccino
哥德宝宝,ゴチム,Gothita
哥德小童,ゴチミル,Gothorita
哥德小姐,ゴチルゼル,Gothitelle
单卵细胞球,ユニラン,Solosis
双卵细胞球,ダブラン,Duosion
人造细胞卵,ランクルス,Reuniclus
鸭宝宝,コアルヒー,Ducklett
舞天鹅,スワンナ,Swanna
迷你冰,バニプッチ,Vanillite
多多冰,バニリッチ,Vanillish
双倍多多冰,バイバニラ,Vanilluxe
四季鹿,シキジカ,Deerling
萌芽鹿,メブキジカ,Sawsbuck
电飞鼠,エモンガ,Emolga
盖盖虫,カブルモ,Karrablast
骑士蜗牛,シュバルゴ,Escavalier
哎呀球菇,タマゲタケ,Foongus
败露球菇,モロバレル,Amoonguss
轻飘飘,プルリル,Frillish
胖嘟嘟,ブルンゲル,Jellicent
保姆曼波,ママンボウ,Alomomola
电电虫,バチュル,Joltik
电蜘蛛,デンチュラ,Galvantula
种子铁球,テッシード,Ferroseed
坚果哑铃,ナットレイ,Ferrothorn
齿轮儿,ギアル,Klink
齿轮组,ギギアル,Klang
齿轮怪,ギギギアル,Klinklang
麻麻小鱼,シビシラス,Tynamo
麻麻鳗,シビビール,Eelektrik
麻麻鳗鱼王,シビルドン,Eelektross
小灰怪,リグレー,Elgyem
大宇怪,オーベム,Beheeyem
烛光灵,ヒトモシ,Litwick
灯火幽灵,ランプラー,Lampent
水晶灯火灵,シャンデラ,Chandelure
牙牙,キバゴ,Axew
斧牙龙,オノンド,Fraxure
双斧战龙,オノノクス,Haxorus
喷嚏熊,クマシュン,Cubchoo
冻原熊,ツンベアー,Beartic
几何雪花,フリージオ,Cryogonal
小嘴蜗,チョボマキ,Shelmet
敏捷虫,アギルダー,Accelgor
泥巴鱼,マッギョ,Stunfisk
功夫鼬,コジョフー,Mienfoo
师父鼬,コジョンド,Mienshao
赤面龙,クリムガン,Druddigon
泥偶小人,ゴビット,Golett
泥偶巨人,ゴルーグ,Golurk
驹刀小兵,コマタナ,Pawniard
劈斩司令,キリキザン,Bisharp
爆炸头水牛,バッフロン,Bouffalant
毛头小鹰,ワシボン,Rufflet
勇士雄鹰,ウォーグル,Braviary
秃鹰丫头,バルチャイ,Vullaby
秃鹰娜,バルジーナ,Mandibuzz
熔蚁兽,クイタラン,Heatmor
铁蚁,アイアント,Durant
单首龙,モノズ,Deino
双首暴龙,ジヘッド,Zweilous
三首恶龙,サザンドラ,Hydreigon
燃烧虫,メラルバ,Larvesta
火神蛾,ウルガモス,Volcarona
勾帕路翁,コバルオン,Cobalion
代拉基翁,テラキオン,Terrakion
毕力吉翁,ビリジオン,Virizion
龙卷云,トルネロス,Tornadus
雷电云,ボルトロス,Thundurus
莱希拉姆,レシラム,Reshiram
捷克罗姆,ゼクロム,Zekrom
土地云,ランドロス,Landorus
酋雷姆,キュレム,Kyurem
凯路迪欧,ケルディオ,Keldeo
美洛耶塔,メロエッタ,Meloetta
盖诺赛克特,ゲノセクト,Genesect
哈力栗,ハリマロン,Chespin
胖胖哈力,ハリボーグ,Quilladin
布里卡隆,ブリガロン,Chesnaught
火狐狸,フォッコ,Fennekin
长尾火狐,テールナー,Braixen
妖火红狐,マフォクシー,Delphox
呱呱泡蛙,ケロマツ,Froakie
呱头蛙,ゲコガシラ,Frogadier
甲贺忍蛙,ゲッコウガ,Greninja
掘掘兔,ホルビー,Bunnelby
掘地兔,ホルード,Diggersby
小箭雀,ヤヤコマ,Fletchling
火箭雀,ヒノヤコマ,Fletchinder
烈箭鹰,ファイアロー,Talonflame
粉蝶虫,コフキムシ,Scatterbug
粉蝶蛹,コフーライ,Spewpa
彩粉蝶,ビビヨン,Vivillon
小狮狮,シシコ,Litleo
火炎狮,カエンジシ,Pyroar
花蓓蓓,フラベベ,Flabébé
花叶蒂,フラエッテ,Floette
花洁夫人,フラージェス,Florges
坐骑小羊,メェークル,Skiddo
坐骑山羊,ゴーゴート,Gogoat
顽皮熊猫,ヤンチャム,Pancham
流氓熊猫,ゴロンダ,Pangoro
多丽米亚,トリミアン,Furfrou
妙喵,ニャスパー,Espurr
超能妙喵,ニャオニクス,Meowstic
独剑鞘,ヒトツキ,Honedge
双剑鞘,ニダンギル,Doublade
坚盾剑怪,ギルガルド,Aegislash
粉香香,シュシュプ,Spritzee
芳香精,フレフワン,Aromatisse
绵绵泡芙,ペロッパフ,Swirlix
胖甜妮,ペロリーム,Slurpuff
好啦鱿,マーイーカ,Inkay
乌贼王,カラマネロ,Malamar
龟脚脚,カメテテ,Binacle
龟足巨铠,ガメノデス,Barbaracle
垃垃藻,クズモー,Skrelp
毒藻龙,ドラミドロ,Dragalge
铁臂枪虾,ウデッポウ,Clauncher
钢炮臂虾,ブロスター,Clawitzer
伞电蜥,エリキテル,Helioptile
光电伞蜥,エレザード,Heliolisk
宝宝暴龙,チゴラス,Tyrunt
怪颚龙,ガチゴラス,Tyrantrum
冰雪龙,アマルス,Amaura
冰雪巨龙,アマルルガ,Aurorus
仙子伊布,ニンフィア,Sylveon
摔角鹰人,ルチャブル,Hawlucha
咚咚鼠,デデンネ,Dedenne
小碎钻,メレシー,Carbink
黏黏宝,ヌメラ,Goomy
黏美儿,ヌメイル,Sliggoo
黏美龙,ヌメルゴン,Goodra
钥圈儿,クレッフィ,Klefki
小木灵,ボクレー,Phantump
朽木妖,オーロット,Trevenant
南瓜精,バケッチャ,Pumpkaboo
南瓜怪人,パンプジン,Gourgeist
冰宝,カチコール,Bergmite
冰岩怪,クレベース,Avalugg
嗡蝠,オンバット,Noibat
音波龙,オンバーン,Noivern
哲尔尼亚斯,ゼルネアス,Xerneas
伊裴尔塔尔,イベルタル,Yveltal
基格尔德,ジガルデ,Zygarde
蒂安希,ディアンシー,Diancie
胡帕,フーパ,Hoopa
波尔凯尼恩,ボルケニオン,Volcanion
木木枭,モクロー,Rowlet
投羽枭,フクスロー,Dartrix
狙射树枭,ジュナイパー,Decidueye
火斑喵,ニャビー,Litten
炎热喵,ニャヒート,Torracat
炽焰咆哮虎,ガオガエン,Incineroar
球球海狮,アシマリ,Popplio
花漾海狮,オシャマリ,Brionne
西狮海壬,アシレーヌ,Primarina
小笃儿,ツツケラ,Pikipek
喇叭啄鸟,ケララッパ,Trumbeak
铳嘴大鸟,ドデカバシ,Toucannon
猫鼬少,ヤングース,Yungoos
猫鼬探长,デカグース,Gumshoos
强颚鸡母虫,アゴジムシ,Grubbin
虫电宝,デンヂムシ,Charjabug
锹农炮虫,クワガノン,Vikavolt
