A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.	For some time after its birth, it grows by gaining nourishment from the seed on its back.		redbluedex leafgreendex	dpptdex bwdex b2w2dex	
With its huge and magnificent wings, it can keep aloft without ever having to land or rest.	It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.			bwdex b2w2dex	
The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.	Moving silently and stealthily, it eats the eggs of birds, such as Pidgey and Spearow, whole.		yellowdex	leafgreendex	
	To intimidate foes, it spreads its chest wide and makes eerie sounds by expelling air from its mouth.			crystaldex	
It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.	It has small electric sacs on both cheeks. If threatened, it looses electric charges from the sacs.		silverdex soulsilverdex		
When its electricity builds, its muscles are stimulated, and it becomes more aggressive than usual.	It can loose 100,000-volt bursts of electricity, instantly downing foes several times its size.		golddex stadium2dex heartgolddex	pearldex	
It burrows and lives underground. If threatened, it curls itself up into a ball for protection.	Disliking water, it lives in deep burrows in arid areas. It can roll itself instantly into a ball.			silverdex soulsilverdex	
If it digs at an incredible pace, it may snap off its spikes and claws. They grow back in a day.	Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.			redbluedex leafgreendex	
Although small, its venomous barbs render this Pokémon dangerous. The female has smaller horns.	Small and very docile, it protects itself with its small, poisonous horn when attacked.		redbluedex leafgreendex	crystaldex	
The female has a gentle temperament. It emits ultrasonic cries that have the power to befuddle foes.	When feeding its young, it first chews the food into a paste, then spits it out for the offspring.		firereddex		
					
It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.	Its large ears are flapped like wings when it is listening to distant sounds. It extends toxic barbs when angered.		dpptdex bwdex b2w2dex	firereddex	
It raises its big ears to check its surroundings. If it senses anything, it attacks immediately.	An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.		golddex stadium2dex heartgolddex	redbluedex leafgreendex	
	One swing of its mighty tail can snap a telephone pole as if it were a matchstick.			dpptdex bwdex b2w2dex	
It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.	The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.		platinumdex bwdex	stadium2dex heartgolddex	
					
When it is born, it has just one snow-white tail. The tail splits from its tip as it grows older.			leafgreendex		
It has nine long tails and fur that gleams gold. It is said to live for 1,000 years.	Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000 year curse.		firereddex		
It captivates foes with its huge, round eyes, then lulls them to sleep by singing a soothing melody.	If it inflates to sing a lullaby, it can perform longer and cause sure drowsiness in its audience.		firereddex	golddex stadium2dex heartgolddex	
Their fur feels so good that if two of them snuggle together, they won't want to be separated.			golddex stadium2dex heartgolddex		
Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from it mouth.	It has no eyes. Instead, it relies on its ultrasonic cries for echo location to flit about in darkness.		diamonddex	firereddex	
Once it bites, it will not stop draining energy from the victim even if it gets too heavy to fly.	Once it starts sucking blood, it does not stop until it is full. It flies at night in search of prey.			pearldex	
During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.	Its scientific name is "Oddium Wanderus." At night, it is said to walk  on its two roots.			firereddex	
Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink.	The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away.			bwdex b2w2dex	
The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up	It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen.			golddex stadium2dex heartgolddex	
Growing out of the bug's back are mushrooms called tochukaso. The mushrooms grow with the bug host.	Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.		firereddex	yellowdex	
					
					
The scales it scatters will paralyze anyone who touches them, making that person unable to stand.			crystaldex		
Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.	Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak.		redbluedex	golddex stadium2dex heartgolddex	
In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.	Extremely powerful, they can dig through even the hardest ground to a depth of over .		firereddex	soulsilverdex	
					
					
It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.	It has mystical powers but doesn't recall that it has used them. That is why it always looks puzzled.		firereddex	golddex stadium2dex heartgolddex	
It appears by waterways at dusk. It may use telekinetic powers if its forehead glows mysteriously.			silverdex soulsilverdex		
	It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason.			dpptdex bwdex b2w2dex	
					
Very friendly and faithful to people. It will try to repel enemies by barking and biting.	It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.		firereddex	golddex stadium2dex heartgolddex	
A Pokémon that has long been admired for its beauty. It runs agilely as if on wings.			leafgreendex		
Its slick black skin is thin and damp. A part of its internal organs can be seen through the skin as a spiral pattern.	The direction of the spiral on the belly differs by area. It is more adept at swimming than walking.		firereddex	yellowdex	
It can live in or out of water. When out of water, it constantly sweats to keep its body slimy.	Its two legs are well developed. Even though it can live on the ground, it prefers living in water.		redbluedex leafgreendex	firereddex	
With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting.	A swimmer adept at both the front crawl and breaststroke. Easily overtakes the best human swimmers.		dpptdex bwdex b2w2dex	redbluedex leafgreendex	
It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.	It senses impending attacks and teleports away to safety before the actual attacks can strike.		firereddex	golddex stadium2dex heartgolddex	
					
Its brain cells multiply continually until it dies. As a result, it remembers everything.	Its brain can outperform a super-computer. Its  is said to be 5,000.		silverdex soulsilverdex	redbluedex	
It hefts a Graveler repeatedly to strengthen its entire body. It uses every type of martial arts.	Its whole body is composed of muscles. Even though it's the size of a human child, it can hurl 100 grown-ups.		diamonddex	firereddex	
	It can lift a dump truck with one hand. Using that power, it helps people with heavy jobs.			pearldex	
					
Even though its body is extremely skinny, it is blindingly fast when catching its prey.	Its bud looks like a human face. Because of the bud, it is rumored to be a type of legendary mandrake plant.		golddex stadium2dex heartgolddex	firereddex	
The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.	It spits out poisonpowder to immobilize the enemy and then finishes it with a spray of acid.		firereddex	leafgreendex	
Said to live in huge colonies deep in jungles, although no one has ever returned from there.	Once ingested into this Pokémon's body, even the hardest object will melt into nothing.		redbluedex leafgreendex	crystaldex	
Its body is virtually cmposed of water. It shoots strange beams from its crystal-like eyes.	Drifts in shallow seas. Anglers who hook them by accident are often punished by their stingers.			leafgreendex	
The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.			redbluedex leafgreendex		
Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.	It is impossible to distinguish from rocks. It slams against others in contests of hardness.		redbluedex leafgreendex	pearldex	
With a free and uncaring nature, it doesn't mind if pieces break off while it rolls down mountains.	Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.		golddex stadium2dex heartgolddex	leafgreendex	
It tumbles down mountains, leaving grooves from peak to base. Stay clear of these grooves.	Even dynamite can't harm its hard, boulder-like body. It sheds its hide just once a year.		pearldex	b2w2dex	
As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster.	Its legs grow strong while it chases after its parent. It runs in fields and mountains all day.		platinumdex bwdex b2w2dex	pearldex	
					
It is always vacantly lost in thought, but no one knows what it is thinking about. It is good at fishing with its tail.	It lazes vacantly near water. If something bites its tail, it won't even notice for a whole day.		firereddex	golddex stadium2dex heartgolddex	
	When a Slowpoke went hunting in the sea, its tail was bitten by a Shellder. That made it evolve into Slowbro.			firereddex	
					
					
The plant stalk it holds is its weapon. The stalk is used like a sword to cut all sorts of things.	It always walks about with a plant stalk clamped in its beak. The stalk is used for building its nest.		leafgreendex	firereddex	
A two-headed Pokémon that was discovered as a sudden mutation. It runs at a pace of over 60 miles per hour.	The brains in its two heads appear to communicate emotions to each other with a telepathic power.			b2w2dex	
An enemy that takes its eyes off any of the three heads--even for a second--will get ed severely.	An odd species that is rarely found. The three heads respectively represent joy, sadness, and anger.		crystaldex	firereddex	
					
	Its streamlined body has little drag in water. The colder the temperature, the friskier it gets.			golddex stadium2dex heartgolddex	
					
They love to gather in smelly areas where sludge accumulates, making the stench around them worse.	A toxic fluid seeps from its body. The fluid instantly kills plants and trees on contact.		golddex stadium2dex heartgolddex	dpptdex bwdex	
					
Cloyster that live in seas with harsh tidal currents grow large, sharp spikes on their shells.	Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking.		silverdex soulsilverdex	firereddex	
					
					
					
					
	If you think that you had a good dream but you can't remember it, a Drowzee has probably eaten it.				
					
					
					
					
					
Its six eggs converse using telepathy. They can quickly gather if they become separated.	Even though it appears to be eggs of some sort, it was discovered to be a life-form more like plant seeds.		dpptdex bwdex b2w2dex	firereddex	
					
It wears the skull of its dead mother on its head. When it becomes lonesome, it is said to cry loudly.	It always wears the skull of its dead mother, so no one has any idea what its hidden face looks like.		firereddex	silverdex soulsilverdex	
It is small and was originally very weak. Its temperament turned ferocious when it began using bones.	The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.		firereddex	leafgreendex	
					
					
Its long tongue, slathered in a gooey saliva, sticks to anything, so it is very useful.	Its tongue is twice the length of its body. It can be moved like an arm for grabbing food and attacking.			firereddex	
					
					
Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging Tackles.	It is inept at turning because of its four short legs. It can only charge and run in one direction.			golddex stadium2dex heartgolddex	
					
It is said to deliver happiness. Being compassionate, it shares its eggs with injured people.	It lays several eggs a day. The eggs are apparently rich in nutrients and extremely delicious.		diamonddex	firereddex	
Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long.	It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.		b2w2dex	silverdex	
It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.	If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.		dpptdex bwdex b2w2dex	golddex stadium2dex heartgolddex	
Known to shoot down flying bugs with precision blasts of ink from the surface of the water.	It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees.		redbluedex leafgreendex	bwdex b2w2dex	
	It is capable of swimming backwards by rapidly flapping its winglike pectoral fins and stout tail.			leafgreendex	
	Its dorsal, pectoral and tail fins wave elegantly in water. That is why it is known as the water dancer.			golddex stadium2dex heartgolddex	
	It makes its nest by hollowing out boulders in streams with its horn. It defends its eggs with its life.			diamonddex	
Even if its body is torn, it can regenerate as long as the glowing central core remains intact.	It appears in large numbers by seashores. At night, it's central core flashes with a red light.		silverdex soulsilverdex		
Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.	At the center of its body is a red core, which sends mysterious radio signals into the night sky.		redbluedex leafgreendex	dpptdex bwdex	
Emanations from its fingertips solidify the air into invisible walls that repel even harsh attacks.	It is adept at conning people. It is said to be able to create walls out of thin air by miming.		pearldex	firereddex	
It tears and shreds prey with its wickedly sharp scythes. It very rarely spreads its wings to fly.	It slashes through grass with its sharp scythes, moving too fast for the human eye to track.		firereddex	stadium2dex heartgolddex	
It wiggles its hips as it walks. It can cause people to dance in unison with it.	It speaks using a language that sounds human. Research is under way to determine what is being said.			firereddex	
Electricity runs across the surface of its body. In darkness, its body glows a whitish blue.					
Found near the mouth of a volcano. This fire-breather's body temperature is nearly 2,200 degrees Fahrenheit.	Born in the spout of a volcano, its body is covered by flames that shimmer like the sun.			dpdex	
It grips prey with its pincers until the prey is torn in half. What it can't tear, it tosses far.			dpptdex bwdex		
After heightening its will to fight by whipping itself with its three tails, it charges at full speed.	When it is about to , it whips its body repeatedly with its three long tails.		silverdex soulsilverdex	firereddex	
It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.	In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.		firereddex	redbluedex leafgreendex	
In ancient literature, there is a record of a Gyarados that razed a village when violence flared.	Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a .		pearldex	redbluedex	
They have gentle hearts. Because they rarely fight, many have been caught. Their number has dwindled.	Its high intelligence enables it to understand human speech. It likes to ferry people on its back.		golddex stadium2dex heartgolddex	firereddex	
It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.	It can freely recombine its own cellular structure to transform into other life-forms.		dpptdex bwdex	firereddex	
A rare Pokémon that adapts to harsh environments by taking on different evolutionary forms.	Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions.		dpdex	b2w2dex	
It prefers beautiful shores. With cells similar to water molecules, it could melt in water.	It has evolved to be suitable for an aquatic life. It can invisibly melt away into water.		silverdex soulsilverdex	dpdex	
Every hair on its body starts to stand sharply on end if it becomes charged with electricity.	It accumulates negative ions in the atmosphere to blast out 10,000-volt lightning bolts.		silverdex stadium2dex soulsilverdex		
It has a flame sac in its body. Its body temperature tops  before battle.	It has a flame bag inside its body. After inhaling deeply, it blows out flames of nearly 3,000 degrees Fahrenheit.		dpdex		
					
A prehistoric Pokémon that lived in the primordial sea, it swims by twisting its 10 tentacles about.	Revived from an ancient fossil, this Pokémon uses air stored in its shell to sink and rise in water.		firereddex	golddex stadium2dex heartgolddex	
					
	This Pokémon was regenerated from the fossil of an ancient creature. It protects itself with a hard shell.			firereddex	
					
It was regenerated from a dinosaur's genetic matter that was found in amber. It flies with high-pitched cries.	This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.		firereddex	silverdex soulsilverdex	
It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.	Its stomach can digest any kind of food, even if it happens to be moldy or rotten.		firereddex	diamonddex	
A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.	A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.		platinumdex bwdex b2w2dex	leafgreendex	
A legendary bird Pokémon that is said to appear from clouds while dropping enormous lightning bolts.	A legendary Pokémon that is said to live in thunderclouds. It freely controls lightning bolts.		redbluedex leafgreendex	platinumdex bwdex b2w2dex	
It is said to be the legendary bird Pokémon of fire. Every flap of its wings creates a dazzling flare of flames.	One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.		leafgreendex	platinumdex bwdex b2w2dex	
It is called the "Mirage Pokémon" because so few have seen it. Its shed skin has been found.	This Pokémon is full of life energy. It continually sheds its skin and grows steadily larger.		dpptdex bwdex b2w2dex	silverdex soulsilverdex	
Its crystalline orbs appear to give this Pokémon the power to freely control the weather.	A mystical Pokémon that exudes a gentle aura. It is said to have the ability to change the weather.		silverdex soulsilverdex	leafgreendex	
It can fly in spite of its big and bulky physique. It circles the globe in just 16 hours.	It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.		firereddex	dpptdex bwdex b2w2dex	
It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments.	A Pokémon created by recombining Mew's genes. It's said to have the most savage heart among Pokémon.		leafgreendex	dpptdex bwdex b2w2dex	
					
					
					
					
					
					
					
					
					
					
When acting as a lookout, it warns others of danger by screeching and hitting the ground with its tail.	It stands on its tail so it can see a long way. If it spots an enemy, it cries loudly to warn its kind.		crystaldex	silverdex firereddex soulsilverdex	
The mother puts its offspring to sleep by curling up around them. It corners foes with speed.	It makes a nest to suit its long and skinny body. The nest is impossible for other Pokémon to enter.		dpptdex bwdex b2w2dex	golddex stadium2dex leafgreendex heartgolddex	
It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time.			silverdex firereddex soulsilverdex		
Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.	When it needs to think, it rotates its head 180 degrees to sharpen its intellectual power.		golddex stadium2dex leafgreendex heartgolddex	silverdex firereddex soulsilverdex	
When the weather turns cold, lots of Ledyba gather from everywhere to cluster and keep each other warm.	It is timid and clusters together with others. The fluid secreted by its feet indicates its location.		silverdex firereddex soulsilverdex	crystaldex	
	The spot patterns on its back grow larger or smaller depending on the number of stars in the night sky.			soulsilverdex	
It spins a web using fine--but durable--thread. It then waits patiently for prey to be trapped.			silverdex soulsilverdex		
It spins string not only from its rear but also from its mouth. It's hard to tell which end is which.	It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends.			dpptdex bwdex b2w2dex	
It flies so silently through the dark on its four wings that it may not be noticed even when nearby.	Having four wings allows it to fly more quickly and quietly so it can sneak up on prey without its noticing.		golddex stadium2dex leafgreendex heartgolddex	b2w2dex	
On the dark ocean floor, its only means of communication is its constantly flashing lights.	It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies.		silverdex firereddex soulsilverdex	golddex leafgreendex stadium2dex heartgolddex	
Lanturn's light can shine up from great depths. It is nicknamed "The Deep-Sea Star."	It blinds prey with an intense burst of light. With the prey incapacitated, the Pokémon swallows it in a single gulp.		dpptdex bwdex b2w2dex	soulsilverdex	
It plays with others by touching tails and setting off sparks. This appears to be a test of courage.	It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.		pearldex	golddex leafgreendex stadium2dex heartgolddex	
					
Instead of walking with its short legs, it moves around by bouncing on its soft, tender body.	It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop.		crystaldex	golddex leafgreendex stadium2dex heartgolddex	
The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.	A proverb claims that happiness will come to anyone who can make a sleeping Togepi stand up.		golddex leafgreendex stadium2dex heartgolddex	silverdex firereddex soulsilverdex	
	They say that it will appear before kindhearted, caring people and shower them with happiness.			golddex leafgreendex stadium2dex heartgolddex	
					
					
Its fluffy coat swells to double when static electricity builds up. Touching it can be shocking.	It stores lots of air in its soft fur, allowing it to stay cool in summer and warm in winter.		dpptdex bwdex	crystaldex	
Its fluffy fleece easily stores electricity. Its rubbery hide keeps it from being electrocuted.	If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact.		silverdex firereddex soulsilverdex	dpptdex bwdex	
		The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.			leafgreendex heartgolddex
Bellossom gather at times and appear to dance. They say that the dance is a ritual to summon the sun.	When the heavy rainfall season ends, it is drawn out by warm sunlight to dance in the open.		stadium2dex leafgreendex heartgolddex	dpptdex bwdex b2w2dex	
The fur on its body naturally repels water. It can stay dry, even when it plays in the water.	The tip of its tail is filled with oil that is lighter than water, so it acts as a float.		crystaldex	pearldex	
Its long ears are superb sensors. It can distinguish the movements of living things on riverbeds.	The bubble-like pattern on its stomach helps it camouflage itself when it's in the water.		pearldex	crystaldex	
	It disguises itself as a tree to avoid attack. It hates , so it will disappear if it starts raining.			silverdex	
	If  and  hear its echoing cry, they respond by gathering from far and wide.			golddex leafgreendex stadium2dex heartgolddex	
Its body is so light, it must grip the ground firmly with its feet to keep from being blown away.	It drifts on winds. It is said that when Hoppip gather in fields and mountains, spring is on the way.		silverdex firereddex soulsilverdex	dpptdex bwdex b2w2dex	
The bloom on top of its head opens and closes as the temperature fluctuates up and down.					
Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes.			dpptdex bwdex b2w2dex		
It lives atop tall trees. When leaping from branch to branch, it deftly uses its tail for balance.	Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.		silverdex firereddex soulsilverdex	golddex stadium2dex leafgreendex	
It may plummet from the sky. If attacked by a Spearow, it will violently shake its leaves.	It lives by drinking only dewdrops from under the leaves of plants. It is said that it eats nothing else.		heartgolddex	silverdex firereddex soulsilverdex	
					
Its eyes can see 360 degrees without moving its head. It won't miss prey--even those behind it.	If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.			stadium2dex leafgreendex heartgolddex	
This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.	When the temperature cools in the evening, they emerge from water to seek food along the shore.		golddex stadium2dex leafgreendex heartgolddex	pearldex	
It has a sluggish nature. It lies at the river's bottom, waiting for prey to stray into its mouth.	This carefree Pokémon has an easy-going nature. While swimming, it always bumps into boat hulls.		diamonddex	golddex leafgreendex stadium2dex heartgolddex	
The tip of its forked tail quivers when it is predicting its opponent's next move.	Its fur is so sensitive, it can feel minute shifts in the air and predict the weather...and its foes' thoughts.		crystaldex	b2w2dex	
The light of the moon changed 's genetic structure. It lurks in darkness for prey.	When exposed to the moon's aura, the rings on its body glow faintly and it's filled with a mysterious power.		dpdex	b2w2dex	
It hides any shiny object it finds in a secret location. Murkrow and  loot one another's stashes.	Feared and loathed by many, it is believed to bring misfortune to all those who see it at night.		crystaldex	golddex leafgreendex stadium2dex heartgolddex	
It has incredible intellect and intuition. Whatever the situation, it remains calm and collected.			golddex stadium2dex leafgreendex heartgolddex		
					
					
It hates light and shock. If attacked, it inflates its body to build up its counterstrike.	To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack.			silverdex firereddex soulsilverdex	
While it sleeps, the head of its tail keeps watch. The tail doesn't need to sleep.					
					
It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.	It remains immovably rooted to its tree. It scatters pieces of its hard shell to drive its enemies away.		dpptdex bwdex b2w2dex	firereddex soulsilverdex	
When spotted, this Pokémon escapes backward by furiously boring into the ground with its tail.	It digs into the ground with its tail and makes a mazelike nest. It can fly just a little.		golddex leafgreendex stadium2dex heartgolddex	bwdex	
It usually clings to cliffs. When it spots its prey, it spreads its wings and glides down to attack.	It flies straight at its target's face then clamps down on the startled victim to inject poison.		silverdex firereddex soulsilverdex	golddex leafgreendex stadium2dex heartgolddex	
Tempered underground under high pressure and heat, its body is harder than any metal.	It chews its way through boulders with its sturdy jaws. Its eyes can see in the darkness underground.		diamonddex		
It has an active, playful nature. Many women like to frolic with it because of its affectionate ways.	Small Pokémon flee from its scary face. It is, however, considered by women to be cute.		silverdex firereddex soulsilverdex	dpptdex bwdex b2w2dex	
It is timid in spite of its looks. If it becomes enraged, however, it will strike with its huge fangs.	It can make most any Pokémon run away simply by opening its mouth wide to reveal its big fangs.		dpptdex bwdex b2w2dex	crystaldex	
To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water at once.	The small spikes covering its body developed from scales. They inject a toxin that causes fainting.			firereddex soulsilverdex	
This Pokémon's pincers, which contain steel, can crush any hard object it gets a hold of into bits.	It has a steel-hard body. It intimidates foes by upraising its eye-patterned pincers.		crystaldex	dpdex	
The berries stored in its jar-like shell eventually become a thick, pulpy juice.	It stores Berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.			silverdex firereddex soulsilverdex	
This powerful Pokémon thrusts its prized horn under the enemies' bellies then lifts and throws them.	With its Herculean powers, it can easily throw around an object that is 100 times its own weight.		stadium2dex leafgreendex heartgolddex	crystaldex	
It feeds on eggs stolen from nests. Its sharply hooked claws rip vulnerable spots on prey.	Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.			golddex stadium2dex leafgreendex heartgolddex	
If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey.	Before food becomes scarce in wintertime, its habit is to hoard food in many hidden locations.		golddex stadium2dex leafgreendex heartgolddex	silverdex firereddex soulsilverdex	
With its ability to distinguish any aroma, it unfailingly finds all food buried deep underground.	Although it has a large body, it is quite skilled at climbing trees. It eats and sleeps in the treetops.		soulsilverdex	crystaldex	
A common sight in volcanic areas, it slowly slithers around in a constant search for warm places.	Its body is made of magma. If it doesn't keep moving, its body will cool and harden.		silverdex firereddex soulsilverdex	dpptdex bwdex b2w2dex	
Its brittle shell occasionally spouts intense flames that circulate throughout its body.	Its body is as hot as lava and is always billowing.  Flames will occasionally burst from its shell.		firereddex soulsilverdex		
	If it smells something enticing, it dashes off headlong to find the source of the aroma.				
Although its legs are short, its rugged hooves prevent it from slipping, even on icy ground.	Because the long hair all over its body obscures its sight, it just keeps charging repeatedly.		crystaldex	leafgreendex stadium2dex heartgolddex	
It continuously sheds and grows. The tip of its head is prized as a treasure because of its beauty.	They prefer unpolluted southern seas. Their coral branches lose their color and deteriorate in dirty water.			b2w2dex	
It has superb accuracy. The water it shoots out can strike even moving prey from more than .	Using its dorsal fin as a suction pad, it clings to a 's underside to scavenge for leftovers.		golddex stadium2dex leafgreendex heartgolddex	silverdex	
It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.	It traps foes with the suction cups on its tentacles, then smashes them with its rock-hard head.		b2w2dex		
It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains.	It carries food all day long. When someone is lost in the mountains, it shares that food.		dpptdex bwdex	b2w2dex	
	While elegantly swimming in the sea, it ignores Remoraid that cling to its fins seeking food scraps.			platinumdex bwdex	
After nesting in bramble bushes, the wings of its chicks grow hard from scratches by thorns.	Despite being clad entirely in iron-hard armor, it flies at speed of over .		silverdex firereddex soulsilverdex	dpptdex bwdex	
Around dawn, its ominous howl echoes through the area to announce that this is its territory.	To corner prey, they check each other's location using barks that only they can understand.		crystaldex	silverdex firereddex soulsilverdex	
